name	description	type	level	price	bulk	capacity	usage	hands	source	source_page
Pilot's Helmet (Worn)	<p>This floppy leather helmet is equipped with large goggles that enhance a pilot’s acuity. While you are wearing a pilot’s helmet, if an enemy vehicle ahead of yours successfully uses the trick pilot action, you can immediately attempt a Perception check with a +4 insight bonus opposed by the result of the opposing vehicle’s skill check to perform the trick pilot action. If you succeed, the penalty imposed by the opposing vehicle’s trick pilot action is reduced by 1.</p>	Magic	3	1200	L	null	null	null	DF02	40
Polymorphic Serum, Mk 1	<p>Those unfamiliar with polymorphic serum often believe the churning, neon-green liquid to be toxic or radioactive at first glance. When created, each polymorphic serum is assigned a specific polymorphed form, as described by a polymorph spell of the serum’s level. All decisions regarding this polymorph form, such as whether it is a generic or a specific form, are determined when the serum is created. Any creature imbibing a polymorphic serum changes into the serum’s associated form for 2 hours × the serum’s mark (2 hours for mk 1, 4 hours for mk 2, and so on). If you are unwillingly subjected to a polymorphic serum (such as through a weapon with the injection special property), you can attempt a Fortitude save to negate this effect (DC = 10 + 1-1/2 × the item’s level). If you fail, you can still dismiss the effect as normal for the polymorph spell.</p>	Magic	3	250	null	null	null	null	COM	126
Queen’S Meal	<p>This sacred meal, typically consumed in celebration of or on religious holidays dedicated to Hylax, was popularized on Ilemchuuva. Temples there normally produce large quantities of this meal on feast days, often at a discounted price. A queen’s meal is not only a day’s worth of food and water, but it also makes coordination and collaboration more effective and discourages hostility for 24 hours. While benefiting from a queen’s meal, you take a –1 penalty to your attack rolls, but you gain a +1 divine bonus to your EAC, KAC, Perception checks, and Sense Motive checks. In addition, if you attempt to aid another creature that has also eaten a queen’s meal that day, you apply a +2 circumstance bonus to your check. If you succeed, the highest result between you and the creature you’re aiding can be used to determine the aided check’s outcome.<br/> These cooperative effects have led to a tradition among followers of Hylax who work as diplomats or negotiators. They consume a queen’s meal at the start of talks to encourage peace. This practice was an element of the famous shirren-led peace negotiations between Castrovel’s formians and lashuntas.</p>	Magic	3	215	L	null	null	null	A!03	43
Rad-Out Serum	<p>This bubbling amber serum is infused with special isotopes designed to absorb radiation from your body. Upon imbibing a rad-out serum, you can attempt a new saving throw against any radiation effects you’re affected by. If you succeed, the radiation effect automatically ends. In addition, you gain a +4 enhancement bonus to saving throws against radiation for 1 hour.</p>	Magic	3	225	null	null	null	null	COM	126
Recovery Aegis (Worn)	<p>The Aspis Consortium partners with the Starfinder Society to deliver recovered relics to the churches of Desna, Iomedae, Sarenrae, Weydan, and Yaraesa. In exchange, mystics of these divinities provide magic items to support field agents. The recovery aegis is a talisman commonly produced as part of this arrangement. These necklaces take many shapes, but each has a jeweled pendant. The amulet counts as a worn magic item unless you install it in armor, taking up one upgrade slot.<br/> While wearing a recovery aegis, you gain a +1 enhancement bonus to saving throws against effects you are already suffering, such as a disease, poison, or an ongoing damage effect; this bonus doesn’t apply to initial saving throws against such effects. In addition, at any point when you have the dying condition, you can use the recovery aegis to stabilize without spending Resolve Points, and you can then spend 1 Resolve Point to stay in the fight during the same round. The jewel in the recovery aegis crumbles to dust if you use it to stabilize in this way, and the amulet loses its powers, becoming nonmagical. If you use a recovery aegis to stabilize, you can’t do so with another recovery aegis for 24 hours.</p>	Magic	3	1350	L	null	null	null	ARM	115
Rings Of Fangs (Worn)	<p>When you wear this ring, your teeth become long and sharp, giving you a powerful bite attack. This grants you a special unarmed strike that deals lethal piercing damage and threatens squares within your reach. You must be able to use your mouth to bite to use this unarmed strike, but it does not require a hand to wield. If you are 3rd level or higher, you gain a special version of the Weapon Specialization feat that adds double your level to the damage of this unarmed strike (rather than adding your level).<br/><br/> <em><a href="https://paizo.com/threads/rzs42ren?Ring-of-Fangs-Clarifications">Errata'd September 9th, 2019</a></em> <br/> <del>When you wear this ring, your teeth become long and sharp, giving you a powerful bite attack. You can choose to have your unarmed attacks deal lethal piercing damage, and if you are 3rd level or higher, you automatically gain a special version of the Weapon Specialization feat that adds double your level to the damage of these unarmed attacks (rather than adding your level).</del></p>	Magic	3	315	null	null	null	null	DS02	53
Ruthig Milk Tea	<p>This iced beverage is made of imported ruthig milk mixed with sugar and tea. For 1 hour after you drink ruthig milk tea, you are not affected by areas of low radiation. In addition, during this time you can roll twice on your Fortitude saving throw to avoid contracting radiation sickness and take the better result. Drinking multiple servings of ruthig milk tea increases the duration, but the effects do not stack.</p>	Magic	3	220	L	null	null	null	DF02	41
Serum Of Sex Shift	<p>Mass production has rendered this once-rare serum easy and inexpensive to obtain among the Pact Worlds. Upon drinking this elixir, your biology instantly transforms to take on a set of sexual characteristics of your choice, changing both your appearance and physiology accordingly. You have some mild control over the details of this change, but you retain a strong “family resemblance” to your former appearance.<br/> The elixir’s magic functions instantaneously and cannot be dispelled. Your new anatomy is as healthy and functional as your previous body’s, potentially allowing you to conceive, carry, or bear children (depending on your species’ biology). Drinking a second elixir of sex shift either reverts you back to a former form or allows you to adopt other sexual characteristics, as you choose. The elixir has no effect if you are unwilling, and the presence of certain sex-specific biological processes, such as gestation, may prevent this serum from taking effect.</p>	Magic	3	350	L	null	null	null	CRB	225
Serum, Daywalker	<p>A wide variety of serums exists throughout the galaxy. Organizations create some of these mixtures on a routine basis, while other serums require unusual materials and are therefore rare. Rules for serums can be found on page 225 of the Core Rulebook.</p>	Magic	3	200	null	null	null	null	ARM	116
Spell Ampoules, 1St	<p>Spell ampoules are injectable magic, where the essence of a magic spell has been condensed into a liquid form and prepared for injection into a creature. Known colloquially as “spell amps,” these heady, ready-to-use magic injections can be used only once. A spell amp duplicates the effect of a beneficial spell (a spell with “harmless” in its Saving Throw or Spell Resistance entry), excluding divination spells or spells that create some link between the caster and the target. In addition, the spell must be 3rd level or lower, have a casting time of 1 minute or less, and target one or more creatures (but not spells that target just the spellcaster). If a spell targets both creatures and objects, it only affects creatures when used as a spell amp. If a spell requires expending a Resolve Point to cast, it also requires the user to spend a Resolve Point when used as a spell amp (if you choose not to spend a Resolve Point or don’t have any Resolve Points remaining, the spell amp has no effect). A spell amp always has an item level equal to three times the level of the spell it duplicates (treat as a 2nd-level item for spell amps with 0-level spells), and a caster level equal to its item level. Creating a spell ampoule has the same requirements as creating a spell gem (see below). You can only use a spell ampoule on yourself or a willing or unconscious creature. Injecting yourself or a willing creature with a spell ampoule is a standard action, while injecting an unconscious creature is a full action. Spell amps take effect as if the spell had been cast upon the creature injected. When you are injected with a spell amp, you get to make any decisions about the spell’s effect as if you were the caster of the spell— you are both the effective target and the caster of the effect.</p>	Magic	3	300	L	null	null	null	CRB	224
Adaptive Serum, Mk 1	<p>A dose of adaptive serum consists of a small piece of ksarik flesh (usually the tip of one of its tentacles) floating in a slightly alcoholic tincture. For an hour after you consume an adaptive serum, the first time you take energy damage, you gain resistance against that type of damage for that attack and for the remainder of the hour or until you rest 10 minutes to regain Stamina Points, whichever comes first. The amount of energy resistance you receive depends on the level of the serum. A mk 1 adaptive serum grants energy resistance 5, a mk 2 adaptive serum grants energy resistance 10, and a mk 3 adaptive serum grants energy resistance 15.</p>	Magic	4	350	null	null	null	null	AA1	71
Aeon Stones, Amber Hyperboloid	<p>Aeon stones are magic gemstones that orbit your head (or the nearest equivalent of a head, for species that lack heads) and grant you a constant magic effect. They do not count toward your worn magic item limit, and there’s no limit to the number you can have orbiting you. They are most common in the Azlanti Star Empire, which also has unique ways of using such stones, but the most common types of aeon stones can be found in magic shops in many major settlements. Aeon stones are categorized by their shape and color, with all stones of the same shape and color having the same magic abilities.<br/> Placing an aeon stone in orbit around your head is a standard action, and removing it is a move action. An aeon stone must be in orbit for you to benefit from its abilities. The stone orbits at a distance of 3 inches to 3 feet, as you prefer, but always outside any armor or helmet you wear. An orbiting aeon stone has an Armor Class equal to 12 + your character level, and it can be attacked directly or even grappled (a successful grapple check plucks the stone out of its orbit and into the attacker’s hand).<br/> Most aeon stones (including all those presented here) are capable of glowing with a bright light. As a standard action, you can activate or deactivate the illumination of an aeon stone, which glows brightly enough to increase the light level in your square by one step (see Vision and Light on page 261).<br/> Each aeon stone also has at least one other power that comes into effect when in orbit around you, detailed in the individual descriptions below.</p>	Magic	4	2200	null	null	null	null	ARM	110
Aeon Stones, Bright Yellow Cabochon	<p>Aeon stones are magic gemstones that orbit your head (or the nearest equivalent of a head, for species that lack heads) and grant you a constant magic effect. They do not count toward your worn magic item limit, and there’s no limit to the number you can have orbiting you. They are most common in the Azlanti Star Empire, which also has unique ways of using such stones, but the most common types of aeon stones can be found in magic shops in many major settlements. Aeon stones are categorized by their shape and color, with all stones of the same shape and color having the same magic abilities.<br/> Placing an aeon stone in orbit around your head is a standard action, and removing it is a move action. An aeon stone must be in orbit for you to benefit from its abilities. The stone orbits at a distance of 3 inches to 3 feet, as you prefer, but always outside any armor or helmet you wear. An orbiting aeon stone has an Armor Class equal to 12 + your character level, and it can be attacked directly or even grappled (a successful grapple check plucks the stone out of its orbit and into the attacker’s hand).<br/> Most aeon stones (including all those presented here) are capable of glowing with a bright light. As a standard action, you can activate or deactivate the illumination of an aeon stone, which glows brightly enough to increase the light level in your square by one step (see Vision and Light on page 261).<br/> Each aeon stone also has at least one other power that comes into effect when in orbit around you, detailed in the individual descriptions below.</p>	Magic	4	2000	null	null	null	null	AT02	44
Aeon Stones, Scarlet Prism	<p>Aeon stones are magic gemstones that orbit your head (or the nearest equivalent of a head, for species that lack heads) and grant you a constant magic effect. They do not count toward your worn magic item limit, and there’s no limit to the number you can have orbiting you. They are most common in the Azlanti Star Empire, which also has unique ways of using such stones, but the most common types of aeon stones can be found in magic shops in many major settlements. Aeon stones are categorized by their shape and color, with all stones of the same shape and color having the same magic abilities.<br/> Placing an aeon stone in orbit around your head is a standard action, and removing it is a move action. An aeon stone must be in orbit for you to benefit from its abilities. The stone orbits at a distance of 3 inches to 3 feet, as you prefer, but always outside any armor or helmet you wear. An orbiting aeon stone has an Armor Class equal to 12 + your character level, and it can be attacked directly or even grappled (a successful grapple check plucks the stone out of its orbit and into the attacker’s hand).<br/> Most aeon stones (including all those presented here) are capable of glowing with a bright light. As a standard action, you can activate or deactivate the illumination of an aeon stone, which glows brightly enough to increase the light level in your square by one step (see Vision and Light on page 261).<br/> Each aeon stone also has at least one other power that comes into effect when in orbit around you, detailed in the individual descriptions below.</p>	Magic	4	2140	null	null	null	null	SFS1	27
Darksight Goggles (Worn)	<p>Darksight goggles are a magical innovation made to aid vision and counter magical darkness without the telltale signs created by technology, such as ultraviolet lasers. The goggles count as a worn magic item unless you install them in armor, taking up one upgrade slot. While wearing these goggles, you gain low-light vision as well as darkvision with a range of 60 feet. In addition, the darkvision these goggles provide allows you to see in color. If you already have darkvision, darksight goggles increase its range by 30 feet.</p>	Magic	4	2100	L	null	null	null	ARM	112
Flame Shield Gauntlet (Worn)	<p>Worn over existing armor, this nanofiber mesh gauntlet cradles a blood-red gem that glows faintly and gives off a small amount of warmth. This item must be worn on a free hand. You can activate the gauntlet as a reaction when you are struck by an attack or effect that deals cold damage. When you do so, until the end of your next turn, you reduce any cold damage dealt to you by half, and if an effect allows a Reflex saving throw for half damage, you take no damage on a successful save. This resistance does not stack with other forms of cold resistance. Once used, the gem’s glow fades and you can’t use this item again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.</p>	Magic	4	1900	1	null	null	null	DF01	53
Friendship Bracelet	<p>Sold in pairs, these bracelets function only when you and another creature each wear one. Provided both of you are wearing the bracelets, each of you treats the other as if you cast a status spell on them. If you have line of sight to the other wearer, you can see them even if they are hidden or invisible, unless they do not wish to be seen by you.<br/> Nonmagical versions of these bracelets, adorned with charming insect depictions, have become a cultural staple among Hylaxians. A pair of these can be purchased for a minimum of 2 credits (though more expensive versions exist).</p>	Magic	4	2000	null	null	null	null	A!04	44
Improvisation Adornment, Mk 1 (Worn)	<p>Those who rely on speaking to persuade or please others and those who require the ability to gauge an audience find an improvisation adornment invaluable. This item is usually something worn on or near the head, such as a necklace, headband, or a mask. While wearing this item, if you fail a Bluff, Culture, Diplomacy, Intimidate, or Sense Motive check, as a reaction you can reroll the check and take the better result. You can also reroll a Profession check, provided the GM agrees the check involved some sort of interaction, such as acting, musical performance, public speaking, and the like. Once you benefit from a given improvisation adornment, you can benefit from a different one only after 24 hours have passed.<br/> The adornment allows a number of rerolls per day based on its type.</p>	Magic	4	1800	L	null	null	null	ARM	114
Iomedaean Crusader Helm (Worn)	<p>Originally created before the Gap for holy champions of Iomedae crusading in the Worldwound—a demon-haunted wasteland created by an Abyssal incursion on Golarion— Iomedaean crusader helms have been in constant production by the church of Iomedae for thousands of years. While only ancient pre-Gap helmets are considered relics, the magical properties of modern Iomedaean crusader helms match their archaic precursors. An Iomedaean crusader helm replaces a suit of armor’s normal helmet (if any) and is incorporated into the armor’s normal environmental protections; these protections do not function if the helm is removed. If the armor has an available upgrade slot, an Iomedaean crusader helm takes up one upgrade slot; otherwise, the helm counts as one of your two worn magic items.<br/> While wearing an Iomedaean crusader helm, the first time each day that you attempt a saving throw against an enchantment or illusion effect created by an evil outsider, roll the saving throw twice and take the best result. You cannot gain the effects of more than one Iomedaean crusader helm each day.</p>	Magic	4	2100	L	null	null	null	DS01	52
Planar Runeplates, Mk 1 (Worn)	<p>Cultists and religious artificers forge planar runeplates, as do the demon-worshipping drow of Apostae. Each set of planar runeplates is dedicated to a specific powerful being native to the Outer Planes, such as an archdevil, a demon lord, or a god. Devotional symbols on the plates might convince others you’re aligned with the being in question, even if you’re not. You wear the plates by affixing them to clothing or armor; they count as a worn magic item unless you install them in armor, taking up a number of upgrade slots equal to their mark.<br/> Each set of planar runeplates has the same alignment as the extraplanar entity to which the plates are dedicated, although no plates are created with a neutral alignment with no other alignment components. While you wear the plates, they have several effects. If a creature with an alignment component opposite any of the plates’ alignment components attacks you, the plates alert you to the creature’s opposing subtypes. If the attack hits, as a reaction you can force the creature to reroll the attack and use the worse result. If you fail a saving throw against an effect created by such a creature, as a reaction you can reroll the saving throw and take the better result. Once you benefit from a given set of planar runeplates, you can benefit from a different set only after 24 hours have passed.<br/> Planar runeplates allow a number of rerolls per day based on their model.</p>	Magic	4	2000	L	null	null	null	ARM	115
Serum, Shadowblend	<p>A wide variety of serums exists throughout the galaxy. Organizations create some of these mixtures on a routine basis, while other serums require unusual materials and are therefore rare. Rules for serums can be found on page 225 of the Core Rulebook.</p>	Magic	4	325	null	null	null	null	ARM	116
Serum, X-Ray	<p>A wide variety of serums exists throughout the galaxy. Organizations create some of these mixtures on a routine basis, while other serums require unusual materials and are therefore rare. Rules for serums can be found on page 225 of the Core Rulebook.</p>	Magic	4	350	null	null	null	null	ARM	116
Tangleburst Seed	<p>A brown seed 2 inches long, a tangleburst seed has an inch of green root protruding from one end. Extremists among the Xenowardens smuggle these seeds all across the galaxy. Despite the seeds’ function, they’re not technological, so they don’t usually show up on scanners looking for weapons or dangerous devices.<br/> As a move action, you can squeeze the seed to activate it and hold it or drop it in a square within your reach. Alternatively, as a standard action, you can squeeze and throw the seed (range increment 20 feet) as a ranged attack targeting a square (AC 5). At the end of the turn in which you activate the seed, it erupts into thick vines in the square it’s in, as well as all squares within 10 feet of the first. This area becomes difficult terrain.<br/> A creature caught in the vines must succeed at a Reflex saving throw (DC = 14 + your key ability score modifier) or become entangled. An entangled creature can escape as a move action with a successful Acrobatics check or Strength check at the same DC.<br/> The vines last and renew themselves for 5 rounds; if the seed lands on a surface made of a material in which plants can’t normally grow, the vines last for only 2 rounds. When the duration ends, the seed and vines wither and turn to dust.</p>	Magic	4	675	L	null	null	null	ARM	117
Trampling Boots (Worn)	<p>These rugged boots are made from the finest mountain eel hide. You can ignore difficult terrain, but only in hilly and mountainous environments. In addition, once per day as a full action, you can move up to your speed through other creatures’ spaces (as long as those creatures aren’t larger than you are). Each creature in your path automatically takes 2d6+4 bludgeoning damage. A target of this trample ability can make an attack of opportunity against you as you pass through its space, but at a −4 penalty. A target can forgo this attack of opportunity to instead attempt a DC 16 Reflex save to take half damage.</p>	Magic	4	2500	L	null	null	null	AA1	79
Truth Amplifier	<p>This parabolic microphone is shaped like a pistol with a plastic cone for a barrel, and Kish shamans have imbued it with mystical power. To use a truth amplifier, point it at a sentient creature within 30 feet and pull the trigger (as a standard action). The target must then succeed a DC 14 Will save, or it can’t deliberately lie for 5 minutes. Affected creatures are aware of this enchantment and can avoid answering questions they would normally respond to with a lie, being evasive as long as they remain within the boundaries of the truth. A truth amplifier can be used once per day.</p>	Magic	4	2000	L	null	null	null	DS04	45
Aeon Stones, Sapphire Cone	<p>Aeon stones are magic gemstones that orbit your head (or the nearest equivalent of a head, for species that lack heads) and grant you a constant magic effect. They do not count toward your worn magic item limit, and there’s no limit to the number you can have orbiting you. They are most common in the Azlanti Star Empire, which also has unique ways of using such stones, but the most common types of aeon stones can be found in magic shops in many major settlements. Aeon stones are categorized by their shape and color, with all stones of the same shape and color having the same magic abilities.<br/> Placing an aeon stone in orbit around your head is a standard action, and removing it is a move action. An aeon stone must be in orbit for you to benefit from its abilities. The stone orbits at a distance of 3 inches to 3 feet, as you prefer, but always outside any armor or helmet you wear. An orbiting aeon stone has an Armor Class equal to 12 + your character level, and it can be attacked directly or even grappled (a successful grapple check plucks the stone out of its orbit and into the attacker’s hand).<br/> Most aeon stones (including all those presented here) are capable of glowing with a bright light. As a standard action, you can activate or deactivate the illumination of an aeon stone, which glows brightly enough to increase the light level in your square by one step (see Vision and Light on page 261).<br/> Each aeon stone also has at least one other power that comes into effect when in orbit around you, detailed in the individual descriptions below.</p>	Magic	5	3200	null	null	null	null	ARM	110
Arquand Manacles	<p>Interwoven hide from numerous Arquand gazelles lines Arquand manacles. Law officers and bounty hunters use these manacles on prisoners who might become aggressive. The interwoven strips help ensure the bound creature never becomes immune to the effect. While wearing Arquand manacles, you must succeed at a DC 13 Will save to attack, cast a spell, or attempt to disable, escape, or harm the cuffs. Arquand gazelles are immune to these manacles. Their magic is a mind-affecting, emotion effect.</p>	Magic	5	2800	L	null	null	null	AA2	13
Barachius Helm (Worn)	<p>This helm replaces a suit of armor’s normal helmet (if any) and is incorporated into the armor’s normal environmental protections; these protections do not function if the helm is removed. If the armor has an available upgrade slot, a barachius helm takes up one upgrade slot; otherwise, the helm counts as one of your two worn magic items.<br/> While wearing a barachius helm, once per day as a standard action, you can activate its ability to detect evil in your environment. Any creature you can see within 60 feet that has the evil subtype (such as a devil or an evil dragon) appears to have an obvious glowing outline visible only to you. Evil magic weapons (such as a rifle with the unholy weapon fusion) and other forms of evil technology gain a similar glowing outline. This doesn’t not increase your visual range or allow you to see invisible creatures.<br/> In addition, once per day, the wearer of a barachius helm can use the barachius’s firewall supernatural ability (see page 12).</p>	Magic	5	3000	L	null	null	null	AA1	13
Bloodbrother Serum	<p>Bloodbrother serum is made from rare alchemical reagents and the vital fluids of the eponymous beast. When the serum is consumed, you gain cold resistance 5 and regain 2 Hit Points per round for 5 rounds.</p>	Magic	5	500	null	null	null	null	AA1	23
Celestial Stole (Worn)	<p>This long, thin scarf is usually marked with an alternating pattern of light and dark shapes. While wearing a celestial stole, you gain cold resistance 5 or fire resistance 5 (your choice when you first don the stole); you can alter the type of energy resistance (choosing between cold and fire) once per day after 8 hours of rest. If you have cold or fire resistance from the solarian’s solar armor solar manifestation, increase that resistance by 5.</p>	Magic	5	3000	null	null	null	null	DS04	45
Dawnflower Melange	<p>This warm tea infused with magical spices functions like a serum (Starfinder Core Rulebook 225) and fortifies the mind and spirit when imbibed. Cafes near the Radiant Cathedral are often filled daily with Sarenite clerics enjoying this beverage while talking about the confluence of science and religion. Drinking this brew grants you a +2 insight bonus to Diplomacy, Mysticism, and Physical Science checks for 1 hour, and during that time you can attempt checks to recall knowledge with Mysticism and Physical Science untrained.</p>	Magic	5	475	null	null	null	null	DF01	53
Dented Kasa (Worn)	<p>A conical helm of battered metal, a dented kasa is a headgear with a history. Helmets of this sort belonged to veteran warriors of ages past, each dent representing a potentially mortal blow the kasa deflected. You wear the kasa by incorporating it into part of your armor’s headwear. The helmet counts as a worn magic item unless you install it in armor, taking up one upgrade slot.<br/> While wearing the dented kasa, you gain a +2 enhancement bonus to saving throws against critical hit effects. In addition, when you take a critical hit, you can spend 2 Resolve Points as a reaction to negate the resulting extra damage and critical hit effect. When you do so, the kasa gains a new dent, scratch, or other mark.</p>	Magic	5	3000	1	null	null	null	ARM	112
Diffraction Cloak, Mk 1 (Worn)	<p>A diffraction cloak bends light around it, causing the garment to subtly shimmer and hinting at its ability to warp nearby energy. While you wear this cloak, it protects you from cold, electricity, fire, and force damage. If an attack dealing such damage targets your EAC and hits, as a reaction you can force the attacker to be reroll the d20 and use the lower result. If you fail a saving throw against an effect that deals such damage, as a reaction you can reroll the saving throw and use the higher result. If you use a given diffraction cloak, you can’t benefit from a different one for 24 hours.<br/> The cloak allows a number of rerolls per day based on its type.</p>	Magic	5	3200	1	null	null	null	ARM	112
Empty Orbit Emblem	<p>An Empty Orbit emblem serves as a badge of office for solarians of the Order of the Empty Orbit, or those honored by that organization. The emblem itself is a metal token depicting the orbit of planets in the Pact Worlds System, including a noticeable gap between Castrovel and Akiton. The emblem counts as a worn magic item unless you install it in armor, which takes up one upgrade slot. When you wear this emblem in an easily visible location, including as an armor upgrade, you receive a +2 circumstance bonus to Diplomacy checks against those who uphold the philosophy of the Cycle or who hold the Cosmonastery of the Empty Orbit in high esteem. Additionally, up to twice per day, when you rest for 10 minutes and spend 1 Resolve Point to regain Stamina Points, you can meditate on this emblem to also regain 2d8+5 Hit Points. Members of the Order of the Empty Orbit and their allies take these emblems seriously, and wearing one falsely is likely to have negative social consequences.</p>	Magic	5	2600	null	null	null	null	A!04	52
Falcon Boots (Worn)	<p>Falcon boots were originally armored steel boots with integrated knee protection etched with falcons across the front. They were most commonly employed by a group called the Steel Falcons, a branch of the Eagle Knights of the Golarion nation of Andoran, and they were apparently designed for use specifically on sailing ships.<br/> As a move action while wearing falcon boots, you can set your own personal, local gravity to be perpendicular to any adjacent surface able to support your weight under normal gravity conditions. This personal gravity effect only functions in normal gravity or lower. While this personal gravity is active, you gain a climb speed equal to your land speed, and if knocked prone, you fall in accordance with your personal gravity (thus falling prone in your space, even if that is on a wall or ceiling, rather than falling toward the ground as defined by the environment’s normal gravity conditions). If you drop an item while your falcon boots are active, it also falls in your space. If you move from that square before picking up a dropped item, the item becomes subject to normal gravity.<br/> If you are not adjacent to a surface able to support your weight, your falcon boots cease to function and you are subject to normal gravity. You can also deactivate falcon boots as a move action. There is no limit to how long falcon boots can function as long as you remain on a surface able to support your weight.</p>	Magic	5	3000	1	null	null	null	DS01	51
Fiery Runeplates, Mk 1 (Worn)	<p>Those who serve the light sometimes wear fiery runeplates, as do those who love fire or associate with entities of elemental flame or hellfire. These rectangular copper plates are about a foot long and half as wide, and they come in a pair. They might bear fiery iconography such as that of Sarenrae, Hellknights, a mighty elemental being, or the demon lord Flauros, or they might have only their runes for decoration. You wear the plates by affixing them to clothing or armor. The plates count as a worn magic item unless you install them in armor, taking up a number of upgrade slots equal to their mark number.<br/> While wearing fiery runeplates, as a standard action, you can command them to generate an aura of spiraling flames in all squares adjacent to your space. When a creature starts its turn in or enters the area on its turn, it takes fire damage according to the plates’ type, as shown on Table 1–26: Fiery Runeplates. A creature takes this damage only once per round and can attempt a Reflex save (see the table) to take half damage. The flames can damage flammable objects in the area.<br/> Once the runeplates are activated, the flames persist for up to a total of 10 rounds per day. They cease immediately if you are unable to take actions, and as a move action you can end the effect entirely or suppress the flames for 1 round. Rounds in which the flames are suppressed don’t count against their daily limit. If you use a given set of fiery runeplates, you can use a different set only after 24 hours have passed. <table> <tr><th>TYPE</th><th>ITEM LEVEL</th><th>DAMAGE</th><th>SAVE DC</th></tr> <tr><td>Mk 1</td><td>5</td><td>5 F</td><td>13</td></tr> <tr><td>Mk 2</td><td>9</td><td>10 F</td><td>15</td></tr> <tr><td>Mk 3</td><td>13</td><td>15 F</td><td>17</td></tr> </table></p>	Magic	5	3500	3	null	null	null	ARM	113
Figurine Of Wondrous Power, Obsidian Electrovore	<p>Each figurine of wondrous power is a statuette of a creature no more than a few inches tall and long. As a standard action, you can speak the figurine’s command word to transform the figurine into a creature in a space you can see within 30 feet of you. The figurine can’t change into a creature if it doesn’t have enough space to do so or if the environment can’t support the creature’s life functions. When the creature appears, it can act immediately on your turn. It understands and obeys your commands, and it understands Common but can’t speak. The creature considers your allies to be its allies and follows their orders when you aren’t able to give any.<br/> Each figurine in this entry can become a creature for up to 1 minute per day, though this duration does not need to be used continuously. After the figure has been in creature form for 1 minute, it reverts to figurine form and can’t be activated again for 24 hours. As a move action, you can dismiss the creature and return it to figurine form. The creature reverts to a figurine if killed. Although it can be healed while in creature form, the creature otherwise regains all its Hit Points 24 hours after its most recent activation. Therefore, if the creature is killed and reverts to figurine form, it can’t transform again for 24 hours.<br/> If you are within 30 feet of the creature when it returns to figurine form, the figurine appears in one of your empty hands or in your space (your choice). Otherwise, it reverts to figurine form as close to you as possible in its own space.<br/> A figurine of wondrous power becomes nonmagical if broken, losing its power to transform into a creature.</p>	Magic	5	3000	L	null	null	null	ARM	113
Monocle Of Recognition	<p>An unassuming brass eyepiece that can be fitted for any species’ visual sensors, a monocle of recognition helps you better tell friend from foe. While wearing it, you gain a +2 enhancement bonus to Perception checks to pierce a disguise and to Sense Motive checks to sense mental effects.</p>	Magic	5	3000	null	null	null	null	A!04	44
Pact Worlds Serum, Aballon Spark	<p>Nearly all cultures in the Pact Worlds use serums of enhancement, vials of magic liquids described on page 225 of the Starfinder Core Rulebook. Eppro Enterprises, a popular manufacturer of energy drinks and restoratives on Verces, has expended millions of credits in promoting its “Pact Worlds” line of serums, each with individual effects and flavors that capture the essence of one of the Pact Worlds. These serums are also sold mixed into drinks at bars across the system. Whether you buy into the hype of Eppro’s products or not, its Pact Worlds serums are reliable and effective. As with all serums of enhancement, these serums are effective when imbibed by living creatures and last for 1 hour.</p>	Magic	5	475	L	null	null	null	PWD	201
Pact Worlds Serum, Absalom Affable	<p>Nearly all cultures in the Pact Worlds use serums of enhancement, vials of magic liquids described on page 225 of the Starfinder Core Rulebook. Eppro Enterprises, a popular manufacturer of energy drinks and restoratives on Verces, has expended millions of credits in promoting its “Pact Worlds” line of serums, each with individual effects and flavors that capture the essence of one of the Pact Worlds. These serums are also sold mixed into drinks at bars across the system. Whether you buy into the hype of Eppro’s products or not, its Pact Worlds serums are reliable and effective. As with all serums of enhancement, these serums are effective when imbibed by living creatures and last for 1 hour.</p>	Magic	5	475	L	null	null	null	PWD	201
Pact Worlds Serum, Akiton Rustrider	<p>Nearly all cultures in the Pact Worlds use serums of enhancement, vials of magic liquids described on page 225 of the Starfinder Core Rulebook. Eppro Enterprises, a popular manufacturer of energy drinks and restoratives on Verces, has expended millions of credits in promoting its “Pact Worlds” line of serums, each with individual effects and flavors that capture the essence of one of the Pact Worlds. These serums are also sold mixed into drinks at bars across the system. Whether you buy into the hype of Eppro’s products or not, its Pact Worlds serums are reliable and effective. As with all serums of enhancement, these serums are effective when imbibed by living creatures and last for 1 hour.</p>	Magic	5	475	L	null	null	null	PWD	201
Pact Worlds Serum, Bretheda Effervescent	<p>Nearly all cultures in the Pact Worlds use serums of enhancement, vials of magic liquids described on page 225 of the Starfinder Core Rulebook. Eppro Enterprises, a popular manufacturer of energy drinks and restoratives on Verces, has expended millions of credits in promoting its “Pact Worlds” line of serums, each with individual effects and flavors that capture the essence of one of the Pact Worlds. These serums are also sold mixed into drinks at bars across the system. Whether you buy into the hype of Eppro’s products or not, its Pact Worlds serums are reliable and effective. As with all serums of enhancement, these serums are effective when imbibed by living creatures and last for 1 hour.</p>	Magic	5	475	L	null	null	null	PWD	201
