id	name	type	description	level	price	system	source	source_page
137	Intercepting ears, mk 1	Magitech	<p>Your eardrums are partially perforated with psychic crystals that resonate at the frequencies commonly used by telepathy. Whenever a creature within 30 feet of you sends or receives a telepathic message using limited telepathy or telepathic message, you can overhear the message with a successful DC 25 Perception check (this requires no action). For mk 2 intercepting ears the Perception check DC is 20.</p>	3	1225	Ears	ARM	92
138	Intercepting ears, mk 2	Magitech	<p>Your eardrums are partially perforated with psychic crystals that resonate at the frequencies commonly used by telepathy. Whenever a creature within 30 feet of you sends or receives a telepathic message using limited telepathy or telepathic message, you can overhear the message with a successful DC 25 Perception check (this requires no action). For mk 2 intercepting ears the Perception check DC is 20.</p>	9	13600	Ears	ARM	92
139	Keening Larynx, Mk 1	Necrograft	<p>A keening larynx necrograft completely replaces your vocal cords. As a standard action a number of times per day equal to the necrograft’s mark, you can emit an ear-piercing wail infused with despair. The target or targets must succeed at a Fortitude saving throw or become deafened and take a –1 penalty to weapon damage rolls for 1d4 minutes. This is a sense-dependent effect.<br/> A mk 1 keening larynx can affect a single target within 30 feet of you. A mk 2 keening larynx can affect all targets in a 15-foot cone. A mk 3 keening larynx can affect all targets in your choice of a 20-foot cone or a 30-foot line. A mk 4 keening larynx can affect all targets in your choice of a 30-foot cone or a 40-foot line. A mk 5 keening larynx can affect all targets in your choice of a 45-foot cone or a 60-foot line.</p>	1	200	Throat	ARM	96
140	Keening Larynx, Mk 2	Necrograft	<p>A keening larynx necrograft completely replaces your vocal cords. As a standard action a number of times per day equal to the necrograft’s mark, you can emit an ear-piercing wail infused with despair. The target or targets must succeed at a Fortitude saving throw or become deafened and take a –1 penalty to weapon damage rolls for 1d4 minutes. This is a sense-dependent effect.<br/> A mk 1 keening larynx can affect a single target within 30 feet of you. A mk 2 keening larynx can affect all targets in a 15-foot cone. A mk 3 keening larynx can affect all targets in your choice of a 20-foot cone or a 30-foot line. A mk 4 keening larynx can affect all targets in your choice of a 30-foot cone or a 40-foot line. A mk 5 keening larynx can affect all targets in your choice of a 45-foot cone or a 60-foot line.</p>	6	4000	Throat	ARM	96
141	Keening Larynx, Mk 3	Necrograft	<p>A keening larynx necrograft completely replaces your vocal cords. As a standard action a number of times per day equal to the necrograft’s mark, you can emit an ear-piercing wail infused with despair. The target or targets must succeed at a Fortitude saving throw or become deafened and take a –1 penalty to weapon damage rolls for 1d4 minutes. This is a sense-dependent effect.<br/> A mk 1 keening larynx can affect a single target within 30 feet of you. A mk 2 keening larynx can affect all targets in a 15-foot cone. A mk 3 keening larynx can affect all targets in your choice of a 20-foot cone or a 30-foot line. A mk 4 keening larynx can affect all targets in your choice of a 30-foot cone or a 40-foot line. A mk 5 keening larynx can affect all targets in your choice of a 45-foot cone or a 60-foot line.</p>	12	30000	Throat	ARM	96
142	Keening Larynx, Mk 4	Necrograft	<p>A keening larynx necrograft completely replaces your vocal cords. As a standard action a number of times per day equal to the necrograft’s mark, you can emit an ear-piercing wail infused with despair. The target or targets must succeed at a Fortitude saving throw or become deafened and take a –1 penalty to weapon damage rolls for 1d4 minutes. This is a sense-dependent effect.<br/> A mk 1 keening larynx can affect a single target within 30 feet of you. A mk 2 keening larynx can affect all targets in a 15-foot cone. A mk 3 keening larynx can affect all targets in your choice of a 20-foot cone or a 30-foot line. A mk 4 keening larynx can affect all targets in your choice of a 30-foot cone or a 40-foot line. A mk 5 keening larynx can affect all targets in your choice of a 45-foot cone or a 60-foot line.</p>	18	350000	Throat	ARM	96
143	Keening Larynx, Mk 5	Necrograft	<p>A keening larynx necrograft completely replaces your vocal cords. As a standard action a number of times per day equal to the necrograft’s mark, you can emit an ear-piercing wail infused with despair. The target or targets must succeed at a Fortitude saving throw or become deafened and take a –1 penalty to weapon damage rolls for 1d4 minutes. This is a sense-dependent effect.<br/> A mk 1 keening larynx can affect a single target within 30 feet of you. A mk 2 keening larynx can affect all targets in a 15-foot cone. A mk 3 keening larynx can affect all targets in your choice of a 20-foot cone or a 30-foot line. A mk 4 keening larynx can affect all targets in your choice of a 30-foot cone or a 40-foot line. A mk 5 keening larynx can affect all targets in your choice of a 45-foot cone or a 60-foot line.</p>	20	775000	Throat	ARM	96
144	Lightvision shades	Cybernetics	<p>This augmentation is a pair of sunglasses (your choice of style when you purchase them) that are integrated into your head. You can extend or retract these lenses as a swift action. While you have the lightvision shades active, you treat light levels of normal light and brighter as if they were areas of dim light. In addition, while the shades are active, you gain a +4 circumstance bonus to saving throws against effects that inflict the blinded or dazzled condition.</p>	2	500	Eyes	DF02	45
145	Limning palm	Cybernetics	<p>By injecting a colony of glowing nanites into the skin of one of your palms, you gain the ability to thwart stealthy foes. As a standard action, you can touch a creature (usually requiring a melee attack against EAC) to transfer some of your glowing nanites to it. For the next 5 minutes, the affected creature glows softly; it takes a –20 penalty to Stealth checks and is unable to benefit from the concealment usually provided by darkness. If the affected creature turns invisible while it is glowing, any others within line of sight of it are aware of its location. Once you use your limning palm, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points.</p>	7	6300	Hand	DF02	45
146	Linguistic capacitor	Cybernetics	<p>A linguistic capacitor is a microscopic data chip inserted into your brain and connected by artificial synapses to your brain’s language centers. Once per day as a full action, you can activate a linguistic capacitor to gain the ability to communicate via the spoken or signed language of any intelligent creature, whether it is a racial tongue or a regional dialect, for 1 hour. You gain only one language at a time, and you can’t communicate with creatures whose method of communication is other something other than a spoken or signed language. You can make yourself understood as far as your voice carries.</p>	12	36600	Brain	SS2	45
147	Machine telepathy cluster	Biotech	<p>This clump of artificial synapses allows you to attempt Computers checks to access unsecured systems (or systems to which you already have access) within 10 feet. You can’t use this augmentation to attempt any other Computers checks. You can also communicate with spectra within 50 feet as though you had the spectra’s machine telepathy special ability, and when crafting items that require Computers or Engineering, you treat your number of ranks in those skills as 1 higher.</p>	5	2500	Brain	AA3	103
148	Mighty Vocal Cords	Biotech	<p>You can mimic the roar of a powerful predator, such as the renkrodas of Castrovel. As a standard action you can bellow ferociously, causing all enemies within 30 feet of you to become shaken for 1d4+1 rounds. A target can attempt a Will saving throw (DC = 10 + half your character level + your Constitution modifier) to negate this effect; a creature that succeeds at this saving throw is immune to your mighty vocal cords for 24 hours. Once you use your mighty vocal cords, you can’t use them again until you’ve rested for 10 minutes to regain Stamina Points.</p>	6	4000	Throat	ARM	86
149	Moonflower Lightgraft	Biotech	<p>This implant can be used to produce light like a flashlight with a 30-foot cone, drawing power from you. In addition, as a standard action, you can raise your augmented hand and create a blinding burst of light in a 30-foot cone-shaped burst extending from your hand. A creature that can see in the burst must succeed at a Fortitude save (DC = 10 + half your level + your Constitution modifier) or be blinded for 1d4 rounds. Once you activate this ability, you can’t activate it again that day unless you spend 1 Resolve Point to recharge it.</p>	8	8500	Hand	AA2	85
150	Moonlight Fibers, Mk 1	Necrograft	<p>Moonlight fibers augment the interface between brain and muscles, letting you briefly act with alacrity. As a swift action, you can act as though under the influence of the haste spell until the beginning of your next turn. As a reaction, you can use your necrograft to reroll a failed Reflex saving throw. After either use of your moonlight fibers, you are staggered for 1 round. You can use your moonlight fibers a number of times per day equal to the necrograft’s mark.</p>	1	200	Spinal Column	ARM	96
151	Moonlight Fibers, Mk 2	Necrograft	<p>Moonlight fibers augment the interface between brain and muscles, letting you briefly act with alacrity. As a swift action, you can act as though under the influence of the haste spell until the beginning of your next turn. As a reaction, you can use your necrograft to reroll a failed Reflex saving throw. After either use of your moonlight fibers, you are staggered for 1 round. You can use your moonlight fibers a number of times per day equal to the necrograft’s mark.</p>	6	4000	Spinal Column	ARM	96
152	Moonlight Fibers, Mk 3	Necrograft	<p>Moonlight fibers augment the interface between brain and muscles, letting you briefly act with alacrity. As a swift action, you can act as though under the influence of the haste spell until the beginning of your next turn. As a reaction, you can use your necrograft to reroll a failed Reflex saving throw. After either use of your moonlight fibers, you are staggered for 1 round. You can use your moonlight fibers a number of times per day equal to the necrograft’s mark.</p>	12	30000	Spinal Column	ARM	96
153	Moonlight Fibers, Mk 4	Necrograft	<p>Moonlight fibers augment the interface between brain and muscles, letting you briefly act with alacrity. As a swift action, you can act as though under the influence of the haste spell until the beginning of your next turn. As a reaction, you can use your necrograft to reroll a failed Reflex saving throw. After either use of your moonlight fibers, you are staggered for 1 round. You can use your moonlight fibers a number of times per day equal to the necrograft’s mark.</p>	18	350000	Spinal Column	ARM	96
154	Moonlight Fibers, Mk 5	Necrograft	<p>Moonlight fibers augment the interface between brain and muscles, letting you briefly act with alacrity. As a swift action, you can act as though under the influence of the haste spell until the beginning of your next turn. As a reaction, you can use your necrograft to reroll a failed Reflex saving throw. After either use of your moonlight fibers, you are staggered for 1 round. You can use your moonlight fibers a number of times per day equal to the necrograft’s mark.</p>	20	775000	Spinal Column	ARM	96
155	Morphic skin, advanced	Magitech	<p>Your skin is linked to implanted magical glands that release mutagenic enzymes and transmutation magic. Using morphic skin requires you to concentrate on the desired features during a 10-minute rest to regain Stamina Points; this is an exception to the normal rule that you can’t perform any tasks while taking a 10-minute rest to recover your Stamina Points. The change completes at the end of the rest.<br/> Basic morphic skin allows you to alter your appearance and voice within the normal bounds for your species, age, weight, and sex. You can adjust your height by up to 3 inches, become broader or thinner, become lighter or darker, alter apparent musculature (although your ability scores do not change), and adjust the shape of your features and the color of your hair, scales, or similar minor features. You ignore any penalties to Disguise checks for altering these major features, but you lack enough control to precisely match a specific individual.<br/> Advanced morphic skin offers the same options as the basic model, as well as the ability to change your apparent sex and age, alter your height by up to 1 foot, and gain features of another species of the same creature type (although you don’t gain or lose abilities as a result).<br/> Doppelganger morphic skin offers the same options as the advanced model, as well as the ability to assume a specific individual’s appearance within the augmentation’s limits. When mimicking an individual this way, you gain a +10 circumstance bonus to your Disguise check to alter your form and to skill checks to bypass biometric security keyed to that individual.</p>	4	2030	Skin	ARM	92
156	Morphic skin, basic	Magitech	<p>Your skin is linked to implanted magical glands that release mutagenic enzymes and transmutation magic. Using morphic skin requires you to concentrate on the desired features during a 10-minute rest to regain Stamina Points; this is an exception to the normal rule that you can’t perform any tasks while taking a 10-minute rest to recover your Stamina Points. The change completes at the end of the rest.<br/> Basic morphic skin allows you to alter your appearance and voice within the normal bounds for your species, age, weight, and sex. You can adjust your height by up to 3 inches, become broader or thinner, become lighter or darker, alter apparent musculature (although your ability scores do not change), and adjust the shape of your features and the color of your hair, scales, or similar minor features. You ignore any penalties to Disguise checks for altering these major features, but you lack enough control to precisely match a specific individual.<br/> Advanced morphic skin offers the same options as the basic model, as well as the ability to change your apparent sex and age, alter your height by up to 1 foot, and gain features of another species of the same creature type (although you don’t gain or lose abilities as a result).<br/> Doppelganger morphic skin offers the same options as the advanced model, as well as the ability to assume a specific individual’s appearance within the augmentation’s limits. When mimicking an individual this way, you gain a +10 circumstance bonus to your Disguise check to alter your form and to skill checks to bypass biometric security keyed to that individual.</p>	1	370	Skin	ARM	92
157	Morphic skin, doppelganger	Magitech	<p>Your skin is linked to implanted magical glands that release mutagenic enzymes and transmutation magic. Using morphic skin requires you to concentrate on the desired features during a 10-minute rest to regain Stamina Points; this is an exception to the normal rule that you can’t perform any tasks while taking a 10-minute rest to recover your Stamina Points. The change completes at the end of the rest.<br/> Basic morphic skin allows you to alter your appearance and voice within the normal bounds for your species, age, weight, and sex. You can adjust your height by up to 3 inches, become broader or thinner, become lighter or darker, alter apparent musculature (although your ability scores do not change), and adjust the shape of your features and the color of your hair, scales, or similar minor features. You ignore any penalties to Disguise checks for altering these major features, but you lack enough control to precisely match a specific individual.<br/> Advanced morphic skin offers the same options as the basic model, as well as the ability to change your apparent sex and age, alter your height by up to 1 foot, and gain features of another species of the same creature type (although you don’t gain or lose abilities as a result).<br/> Doppelganger morphic skin offers the same options as the advanced model, as well as the ability to assume a specific individual’s appearance within the augmentation’s limits. When mimicking an individual this way, you gain a +10 circumstance bonus to your Disguise check to alter your form and to skill checks to bypass biometric security keyed to that individual.</p>	6	4400	Skin	ARM	92
158	Necrocortex, Mk 1	Necrograft	<p>A necrocortex replaces a significant portion of the brain with undead tissue, enhancing your control over undead minions. As a standard action, you can transfer your senses to an undead creature under your control within a range determined by your necrograft’s model (see below). While so affected, you see and hear what your undead minion perceives, but you cannot hear, see, smell, or taste what your own body experiences, though your senses of touch and pain remain. You can return your senses to your own body with a swift action. In addition, you can command undead under your control telepathically, including mindless undead. You must have line of sight or be using the undead creature’s senses to exert control in this manner. Using your necrograft to transfer your senses counts as a scrying effect.<br/> Necrocortexes are compatible with undead brains and are often implanted in bone sages and other powerful Eoxians— the better to command disposable minions from a distance. The range of a mk 1 necrocortex is 1,000 feet. The range of a mk 2 necrocortex is 10 miles. The range of a mk 3 necrocortex is 1,000 miles; additionally, you can bind your necrocortex to a single, willing undead creature (which requires 1 hour of concentration), allowing you to transfer your senses to that creature as if it were under your control. The range of a mk 4 necrocortex is planetary, and you can bind your necrocortex to a number of willing, undead creatures equal to your Charisma modifier (minimum 1). The range of a mk 5 necrocortex is system-wide, and you can bind your necrocortex to a number of willing, undead creatures equal to your twice your Charisma modifier (minimum 2).</p>	1	200	Brain	ARM	96
159	Necrocortex, Mk 2	Necrograft	<p>A necrocortex replaces a significant portion of the brain with undead tissue, enhancing your control over undead minions. As a standard action, you can transfer your senses to an undead creature under your control within a range determined by your necrograft’s model (see below). While so affected, you see and hear what your undead minion perceives, but you cannot hear, see, smell, or taste what your own body experiences, though your senses of touch and pain remain. You can return your senses to your own body with a swift action. In addition, you can command undead under your control telepathically, including mindless undead. You must have line of sight or be using the undead creature’s senses to exert control in this manner. Using your necrograft to transfer your senses counts as a scrying effect.<br/> Necrocortexes are compatible with undead brains and are often implanted in bone sages and other powerful Eoxians— the better to command disposable minions from a distance. The range of a mk 1 necrocortex is 1,000 feet. The range of a mk 2 necrocortex is 10 miles. The range of a mk 3 necrocortex is 1,000 miles; additionally, you can bind your necrocortex to a single, willing undead creature (which requires 1 hour of concentration), allowing you to transfer your senses to that creature as if it were under your control. The range of a mk 4 necrocortex is planetary, and you can bind your necrocortex to a number of willing, undead creatures equal to your Charisma modifier (minimum 1). The range of a mk 5 necrocortex is system-wide, and you can bind your necrocortex to a number of willing, undead creatures equal to your twice your Charisma modifier (minimum 2).</p>	6	4000	Brain	ARM	96
160	Necrocortex, Mk 3	Necrograft	<p>A necrocortex replaces a significant portion of the brain with undead tissue, enhancing your control over undead minions. As a standard action, you can transfer your senses to an undead creature under your control within a range determined by your necrograft’s model (see below). While so affected, you see and hear what your undead minion perceives, but you cannot hear, see, smell, or taste what your own body experiences, though your senses of touch and pain remain. You can return your senses to your own body with a swift action. In addition, you can command undead under your control telepathically, including mindless undead. You must have line of sight or be using the undead creature’s senses to exert control in this manner. Using your necrograft to transfer your senses counts as a scrying effect.<br/> Necrocortexes are compatible with undead brains and are often implanted in bone sages and other powerful Eoxians— the better to command disposable minions from a distance. The range of a mk 1 necrocortex is 1,000 feet. The range of a mk 2 necrocortex is 10 miles. The range of a mk 3 necrocortex is 1,000 miles; additionally, you can bind your necrocortex to a single, willing undead creature (which requires 1 hour of concentration), allowing you to transfer your senses to that creature as if it were under your control. The range of a mk 4 necrocortex is planetary, and you can bind your necrocortex to a number of willing, undead creatures equal to your Charisma modifier (minimum 1). The range of a mk 5 necrocortex is system-wide, and you can bind your necrocortex to a number of willing, undead creatures equal to your twice your Charisma modifier (minimum 2).</p>	12	30000	Brain	ARM	96
161	Necrocortex, Mk 4	Necrograft	<p>A necrocortex replaces a significant portion of the brain with undead tissue, enhancing your control over undead minions. As a standard action, you can transfer your senses to an undead creature under your control within a range determined by your necrograft’s model (see below). While so affected, you see and hear what your undead minion perceives, but you cannot hear, see, smell, or taste what your own body experiences, though your senses of touch and pain remain. You can return your senses to your own body with a swift action. In addition, you can command undead under your control telepathically, including mindless undead. You must have line of sight or be using the undead creature’s senses to exert control in this manner. Using your necrograft to transfer your senses counts as a scrying effect.<br/> Necrocortexes are compatible with undead brains and are often implanted in bone sages and other powerful Eoxians— the better to command disposable minions from a distance. The range of a mk 1 necrocortex is 1,000 feet. The range of a mk 2 necrocortex is 10 miles. The range of a mk 3 necrocortex is 1,000 miles; additionally, you can bind your necrocortex to a single, willing undead creature (which requires 1 hour of concentration), allowing you to transfer your senses to that creature as if it were under your control. The range of a mk 4 necrocortex is planetary, and you can bind your necrocortex to a number of willing, undead creatures equal to your Charisma modifier (minimum 1). The range of a mk 5 necrocortex is system-wide, and you can bind your necrocortex to a number of willing, undead creatures equal to your twice your Charisma modifier (minimum 2).</p>	18	350000	Brain	ARM	96
162	Necrocortex, Mk 5	Necrograft	<p>A necrocortex replaces a significant portion of the brain with undead tissue, enhancing your control over undead minions. As a standard action, you can transfer your senses to an undead creature under your control within a range determined by your necrograft’s model (see below). While so affected, you see and hear what your undead minion perceives, but you cannot hear, see, smell, or taste what your own body experiences, though your senses of touch and pain remain. You can return your senses to your own body with a swift action. In addition, you can command undead under your control telepathically, including mindless undead. You must have line of sight or be using the undead creature’s senses to exert control in this manner. Using your necrograft to transfer your senses counts as a scrying effect.<br/> Necrocortexes are compatible with undead brains and are often implanted in bone sages and other powerful Eoxians— the better to command disposable minions from a distance. The range of a mk 1 necrocortex is 1,000 feet. The range of a mk 2 necrocortex is 10 miles. The range of a mk 3 necrocortex is 1,000 miles; additionally, you can bind your necrocortex to a single, willing undead creature (which requires 1 hour of concentration), allowing you to transfer your senses to that creature as if it were under your control. The range of a mk 4 necrocortex is planetary, and you can bind your necrocortex to a number of willing, undead creatures equal to your Charisma modifier (minimum 1). The range of a mk 5 necrocortex is system-wide, and you can bind your necrocortex to a number of willing, undead creatures equal to your twice your Charisma modifier (minimum 2).</p>	20	775000	Brain	ARM	96
163	Nimble soles	Magitech	<p>A nimble soles augmentation places sets of miniature metal rings that hold the essence of the Elemental Plane of Air on your feet. The rings grant you a +2 enhancement bonus to Acrobatics checks to fly and tumble. In addition, once per day as a swift action, you can overcharge the rings to increase this bonus to +4 for 1 minute.</p>	4	2000	Feet	AT02	44
164	Ocucloak Processor	Biotech	<p>This biotechnological item is a tiny computer that is attached to the your brain and wired to a technological cloak. As long as both items are worn and are functioning, the user is the unflankable as per the universal creature rule (see page 158). The cost of the cloak is included in the cost of this augmentation.</p>	4	2200	Brain	AA1	103
165	Optical laser, aphelion	Cybernetics	<p><table> <tr><th>MODEL</th><th>DAMAGE</th><th>CRITICAL</th></tr> <tr><td>Azimuth</td><td>1d6 F</td><td>Burn 1d6</td></tr> <tr><td>Corona</td><td>2d6 F</td><td>Burn 1d6</td></tr> <tr><td>Aphelion</td><td>3d6 F</td><td>Burn 2d6</td></tr> <tr><td>Parallax</td><td>4d6 F</td><td>Burn 2d6</td></tr> <tr><td>Zenith</td><td>5d6 F</td><td>Burn 3d6</td></tr> </table> This system replaces one of your eyes with a compact laser weapon that functions as a small arm with the integrated weapon special property (see page 29) and deals damage based on its model. An optical laser has a 50-foot range increment, and it can’t be disarmed. Once you’ve used the optical laser for a single attack, its tiny battery is depleted; you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.</p>	11	26520	Eye	ARM	89
166	Optical laser, azimuth	Cybernetics	<p><table> <tr><th>MODEL</th><th>DAMAGE</th><th>CRITICAL</th></tr> <tr><td>Azimuth</td><td>1d6 F</td><td>Burn 1d6</td></tr> <tr><td>Corona</td><td>2d6 F</td><td>Burn 1d6</td></tr> <tr><td>Aphelion</td><td>3d6 F</td><td>Burn 2d6</td></tr> <tr><td>Parallax</td><td>4d6 F</td><td>Burn 2d6</td></tr> <tr><td>Zenith</td><td>5d6 F</td><td>Burn 3d6</td></tr> </table> This system replaces one of your eyes with a compact laser weapon that functions as a small arm with the integrated weapon special property (see page 29) and deals damage based on its model. An optical laser has a 50-foot range increment, and it can’t be disarmed. Once you’ve used the optical laser for a single attack, its tiny battery is depleted; you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.</p>	3	1530	Eye	ARM	89
167	Optical laser, corona	Cybernetics	<p><table> <tr><th>MODEL</th><th>DAMAGE</th><th>CRITICAL</th></tr> <tr><td>Azimuth</td><td>1d6 F</td><td>Burn 1d6</td></tr> <tr><td>Corona</td><td>2d6 F</td><td>Burn 1d6</td></tr> <tr><td>Aphelion</td><td>3d6 F</td><td>Burn 2d6</td></tr> <tr><td>Parallax</td><td>4d6 F</td><td>Burn 2d6</td></tr> <tr><td>Zenith</td><td>5d6 F</td><td>Burn 3d6</td></tr> </table> This system replaces one of your eyes with a compact laser weapon that functions as a small arm with the integrated weapon special property (see page 29) and deals damage based on its model. An optical laser has a 50-foot range increment, and it can’t be disarmed. Once you’ve used the optical laser for a single attack, its tiny battery is depleted; you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.</p>	7	7140	Eye	ARM	89
168	Optical laser, parallax	Cybernetics	<p><table> <tr><th>MODEL</th><th>DAMAGE</th><th>CRITICAL</th></tr> <tr><td>Azimuth</td><td>1d6 F</td><td>Burn 1d6</td></tr> <tr><td>Corona</td><td>2d6 F</td><td>Burn 1d6</td></tr> <tr><td>Aphelion</td><td>3d6 F</td><td>Burn 2d6</td></tr> <tr><td>Parallax</td><td>4d6 F</td><td>Burn 2d6</td></tr> <tr><td>Zenith</td><td>5d6 F</td><td>Burn 3d6</td></tr> </table> This system replaces one of your eyes with a compact laser weapon that functions as a small arm with the integrated weapon special property (see page 29) and deals damage based on its model. An optical laser has a 50-foot range increment, and it can’t be disarmed. Once you’ve used the optical laser for a single attack, its tiny battery is depleted; you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.</p>	15	122400	Eye	ARM	89
169	Optical laser, zenith	Cybernetics	<p><table> <tr><th>MODEL</th><th>DAMAGE</th><th>CRITICAL</th></tr> <tr><td>Azimuth</td><td>1d6 F</td><td>Burn 1d6</td></tr> <tr><td>Corona</td><td>2d6 F</td><td>Burn 1d6</td></tr> <tr><td>Aphelion</td><td>3d6 F</td><td>Burn 2d6</td></tr> <tr><td>Parallax</td><td>4d6 F</td><td>Burn 2d6</td></tr> <tr><td>Zenith</td><td>5d6 F</td><td>Burn 3d6</td></tr> </table> This system replaces one of your eyes with a compact laser weapon that functions as a small arm with the integrated weapon special property (see page 29) and deals damage based on its model. An optical laser has a 50-foot range increment, and it can’t be disarmed. Once you’ve used the optical laser for a single attack, its tiny battery is depleted; you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, though you can spend 1 Resolve Point at any point to recharge it immediately.</p>	19	612000	Eye	ARM	89
170	Phantom Basal Ganglia, Mk 1	Necrograft	<p>A phantom basal ganglia merges the shattered essence of a restless spirit with a living brain. The resulting mind is able to resist mental influence and control. You add the necrograft’s mark as a bonus to saving throws against mindaffecting effects.<br/> A phantom basal ganglia of mk 3 or higher gives a chance of shaking off mind-affecting effects. One round after failing a saving throw against a mind-affecting effect, or if the effect has any partial effect even with a successful save, you can attempt a new save against the same DC (this takes no action). If you succeed, the effect is removed entirely. If the mind-affecting effect already allows a second saving throw, you receive only one additional saving throw on the following round.</p>	1	200	Brain	ARM	96
171	Phantom Basal Ganglia, Mk 2	Necrograft	<p>A phantom basal ganglia merges the shattered essence of a restless spirit with a living brain. The resulting mind is able to resist mental influence and control. You add the necrograft’s mark as a bonus to saving throws against mindaffecting effects.<br/> A phantom basal ganglia of mk 3 or higher gives a chance of shaking off mind-affecting effects. One round after failing a saving throw against a mind-affecting effect, or if the effect has any partial effect even with a successful save, you can attempt a new save against the same DC (this takes no action). If you succeed, the effect is removed entirely. If the mind-affecting effect already allows a second saving throw, you receive only one additional saving throw on the following round.</p>	6	4000	Brain	ARM	96
172	Phantom Basal Ganglia, Mk 3	Necrograft	<p>A phantom basal ganglia merges the shattered essence of a restless spirit with a living brain. The resulting mind is able to resist mental influence and control. You add the necrograft’s mark as a bonus to saving throws against mindaffecting effects.<br/> A phantom basal ganglia of mk 3 or higher gives a chance of shaking off mind-affecting effects. One round after failing a saving throw against a mind-affecting effect, or if the effect has any partial effect even with a successful save, you can attempt a new save against the same DC (this takes no action). If you succeed, the effect is removed entirely. If the mind-affecting effect already allows a second saving throw, you receive only one additional saving throw on the following round.</p>	12	30000	Brain	ARM	96
173	Phantom Basal Ganglia, Mk 4	Necrograft	<p>A phantom basal ganglia merges the shattered essence of a restless spirit with a living brain. The resulting mind is able to resist mental influence and control. You add the necrograft’s mark as a bonus to saving throws against mindaffecting effects.<br/> A phantom basal ganglia of mk 3 or higher gives a chance of shaking off mind-affecting effects. One round after failing a saving throw against a mind-affecting effect, or if the effect has any partial effect even with a successful save, you can attempt a new save against the same DC (this takes no action). If you succeed, the effect is removed entirely. If the mind-affecting effect already allows a second saving throw, you receive only one additional saving throw on the following round.</p>	18	350000	Brain	ARM	96
174	Phantom Basal Ganglia, Mk 5	Necrograft	<p>A phantom basal ganglia merges the shattered essence of a restless spirit with a living brain. The resulting mind is able to resist mental influence and control. You add the necrograft’s mark as a bonus to saving throws against mindaffecting effects.<br/> A phantom basal ganglia of mk 3 or higher gives a chance of shaking off mind-affecting effects. One round after failing a saving throw against a mind-affecting effect, or if the effect has any partial effect even with a successful save, you can attempt a new save against the same DC (this takes no action). If you succeed, the effect is removed entirely. If the mind-affecting effect already allows a second saving throw, you receive only one additional saving throw on the following round.</p>	20	775000	Brain	ARM	96
175	Photoenergetic Node	Biotech	<p>Implanting a tashtari’s photoenergetic node into your hand causes the appendage to glow with faint light. As a move action, you can discharge energy stored in your photoenergetic node into an analog melee weapon that you are currently holding in the same hand that has this biotech augmentation installed. The released energy instantaneously superheats the melee weapon, causing the weapon to deal 1d6 additional fire damage on a successful attack. The affected weapon deals this additional damage for 1 round for every 2 character levels you have. While heated, the affected weapon also sheds light as a flashlight, lantern, or beacon (you choose when you activate the augmentation). Once you’ve expended your photoenergetic node, you can’t use it again until you’ve rested for 10 minutes to regain Stamina Points, but you can spend 1 Resolve Point to recharge it immediately.</p>	2	625	Hand	AA2	125
176	Polarizing palm	Cybernetics	<p>One of your hands contains a microscopic matrix of electromagnetically charged wires and nodes that is kept powered by your own nervous system. As long as you aren’t holding or wielding an item in that hand, you can use it as a standard action to make a melee attack roll against a target’s EAC. If you hit, a technological item that target is holding or wearing in a visible, accessible manner (such as on a belt) or a weapon that is powered by a battery that target is wielding loses 1d6+1 charges. This amount is doubled if you score a critical hit.</p>	7	5850	Hand	SS2	45
