id	name	description	long_description	mystic_level	technomancer_level	witchwarper_level	school	casting_time	effect	area	effect_ranges_id	targets	duration	saving_throw	spell_resistance	source	source_page
168	Holographic Terrain	<p>Create a large hologram that depicts terrain and structures.</p>	<p>You make terrain look, sound, and smell like some other sort of terrain. Equipment, structures, and vehicles within the area can be hidden or changed in appearance. The illusion includes audible, olfactory, tactile, and visual elements and is effective against cameras, living creatures, robots, and scrying spells. This spell can&rsquo;t disguise or add creatures nor can it make them invisible (though creatures within the area might hide themselves within the illusion just as they can hide themselves within a real location).<br /></p>	null	5	null	illusion	1 standard action	null	one 20-ft. cube/level (S)	5	null	2 hours/level (D)	Will disbelief	no	CRB	360
169	Hoverdisk	<p>Conjure a hovering disk to ride or transport cargo.</p>	<p>You create a thin, circular plane of force 3 feet in diameter and able to hover up to 3 feet above the ground. When you cast this spell, you can give the disk general instructions, such as &ldquo;Take me across this field of lava,&rdquo; or &ldquo;Take the rescued shirren back to town.&rdquo; You can tell the disk to go to any location you are familiar with, and it follows these instructions without error, even traveling beyond the spell&rsquo;s range. If you give the disk no instructions, it follows 5 feet behind you. The disk can carry up to 20 bulk for each caster level you have, has a fly speed of 60 feet (no higher than 3 feet), and can move beyond the spell&rsquo;s range. It moves at your command or the command of a creature you designate, as a move action, and it raises and lowers itself on similar command, so getting on or off the disk can be done as part of the move action to move into the disk&rsquo;s space. As a standard action, you can give the disk new general instructions.<br /></p>	null	2	null	evocation (force)	1 standard action	3-ft. diameter disk of force	null	10	null	1 hour/level (D)	none (harmless)	no	COM	136
170	Hoverdisk, Mass	<p>Create several hovering disks of force for creatures to ride or to transport cargo.</p>	<p>This spell functions as&nbsp;<em>hoverdisk</em>, except as noted above. As part of casting this spell, you can give a single set of instructions to all disks, or you can give separate instructions to each disk. You must spend a standard action to give new or additional instructions to any one disk, although you can give a group of disks the same instructions as part of the same action.<br /></p>	null	5	null	evocation (force)	1 standard action	up to 1 disk of force/caster level, each of which is 3 feet in diameter	null	10	null	1 hour/level (D)	none (harmless)	no	COM	137
171	Hurl Forcedisk	<p>Disc deals 3d6 force damage to one target then ricochets to other targets, dealing 2d6 force damage.</p>	<p>You create a spinning disk made of pure, shimmering force and hurl it at one opponent within range, potentially striking other nearby enemies as the disk ricochets. Choose the initial target, and make a ranged attack against its EAC. If the attack hits, the disk deals 3d6 force damage. The disk then ricochets to hit up to four more creatures of your choice, each no more than 15 feet from the last target. Make a ranged attack against each successive target&rsquo;s EAC in turn; the disk deals 2d6 force damage to each secondary target struck (this damage is rolled separately for each target). The disk continues to ricochet in this way until it has attempted to strike five creatures, or until there are no more valid targets, or until you voluntarily end the spell. A creature can take damage only once from a single casting of this spell.<br /></p>	2	null	null	evocation (force)	1 standard action	null	null	4	up to five creatures; see text	instantaneous	none	yes	CRB	360
172	Id Insinuation	<p>By invading targets with your psychic presence, you isolate parts of their minds, preventing them from functioning in a coherent manner.</p>	<p>By invading targets with your psychic presence, you isolate parts of their minds, preventing them from functioning in a coherent manner. Targets who fail their save are confused for the duration. Each round, a target rolls twice to determine their behavior due to the confused condition, and you choose which result applies.</p>	3	null	3	enchantment (compulsion, mind-affecting)	1 standard action	null	up to one creature/4 levels, no two of which can be more than 30 ft. apart	3	null	concentration + 1 round	Will negates	yes	A!05	52
173	Identify	<p>Gain +10 bonus to identify items of a magic or technological nature.</p>	<p>This spell allows you to attempt to identify the function of a magic item (with Mysticism) or technological device (with Engineering) each round. You gain a +10 insight bonus to skill checks to identify the properties and command words or passwords of items targeted when using this spell. This spell does not allow you to identify artifacts.<br /></p>	1	1	1	divination	1 standard action	null	null	12	one magic or technological object	1 round/level (D)	none	no	CRB	361
174	Illusory Star Field	<p>Use illusory stars to grant a +3 bonus to Bluff checks made to convince creatures of their location.</p>	<p>This spell causes targets to see an illusory star pattern, naturally occurring space phenomena, or another general skyscape you choose the details of during casting. The spell&rsquo;s effects grant a +3 circumstance bonus to Bluff checks or related skill checks to convince the targets of something related to the false skyscape, such as their location on a planet according to the stars.</p>	1	null	null	illusion	1 standard action	null	null	3	up to 3 creatures/level, no two of which can be more than 20 feet apart	1 hour/level	Will disbelief	no	COM	137
175	Implant Data	<p>Embed one piece of data per level in a target computer or system.</p>	<p>You subtly rearrange the internal circuitry of a computer system or module, programming it to convey a certain dataset when accessed (either normally or if it is hacked). You can implant up to one piece of data per caster level. A piece of data consists of a simple fact, such as a creature or object&rsquo;s location or physical description, a creature or object&rsquo;s tangible or intangible value, or another simple statement. When an affected computer system or module is accessed, this implanted data is the first data the accessing individual gains, regardless of what data the individual is actually looking for, though the accessing individual can access the system or module&rsquo;s actual information if it looks beyond the implanted data. The implanted data vanishes from the system or module once the accessing individual has reviewed it. If this spell&rsquo;s duration ends before an individual accesses the implanted data, the implanted data vanishes.</p>	null	2	null	illusion	1 standard action	null	null	2	one computer system or module	1 hour/level or until triggered; see text	none	no	CRB	361
176	Incompetence	<p>Targeted creatures lose proficiency with one type of weapons.</p>	<p>You cause all targets of this spell to lose proficiency with one class of weapons of your choice (basic or advanced melee weapons, small arms, longarms, heavy weapons, grenades, or natural weapons) and suffer the normal penalties for attacks made with weapons they are not proficient with.</p>	null	1	null	enchantment (mind-affecting)	1 standard action	null	null	3	one creature/level	1 round/level	Will negates	yes	ARM	157
177	Infect Blood	<p>Alter a target&rsquo;s blood to deal 3d8 damage per round and impose the sickened condition.</p>	<p>You alter the target&rsquo;s internal chemistry, causing their body to reject its composition. The target takes 3d8 damage each round, but can attempt a Fortitude save for half damage, and has the sickened condition for the duration.</p>	null	3	null	transmutation	1 round	null	null	3	one living creature	1 round/level	Fortitude half; see text	yes	COM	137
178	Inflict Pain	<p>Wracking pain imposes &ndash;2 penalty to ability checks, attack rolls, and skill checks on one target.</p>	<p>You telepathically rack the target&rsquo;s mind and body with agonizing pain that imposes a &ndash;2 penalty to ability checks, attack rolls, and skill checks. A target that succeeds at a Will saving throw reduces the duration to 1 round.</p>	2	null	null	enchantment (mind-affecting, pain)	1 standard action	null	null	3	one creature	1 round/level	Will partial, see text	yes	CRB	361
179	Inflict Pain, Mass	<p>Wracking pain imposes &ndash;2 penalty to ability checks, attack rolls, and skill checks on one target per level.</p>	<p>This spell functions as&nbsp;<em>inflict pain</em>, except as noted above.</p>	6	null	null	enchantment (mind-affecting, pain)	null	null	null	3	up to one creature/level, no two of which can be more than 30 ft. apart	null	null	null	CRB	361
180	Inject Nanobots	<p>Touch deals 4d8 damage to target and causes the confused condition.</p>	<p>You concentrate key particles in your blood into tiny biological nanobots that you can inject into a foe with a touch, disrupting and damaging its natural processes. Make a melee attack against the target&rsquo;s EAC; if you hit, the nanobots deal 4d8 damage and swarm through the target&rsquo;s biological or mechanical systems, causing the creature to be confused, as per&nbsp;<em>confusion</em>, for 1 round per your caster level. If the target succeeds at a Fortitude save, it takes only half damage and negates the confusion effect. A confused target can attempt a Will saving throw at the beginning of its turn each round to end the confusion effect.<br /><br />Casting this spell doesn&rsquo;t provoke attacks of opportunity.</p>	null	2	null	necromancy	1 standard action	null	null	2	one living creature or construct	instantaneous and 1 round/level; see text	Fortitude partial and Will partial, see text;	yes	CRB	361
181	Instant Upgrade	<p>Briefly conjure a cybernetic augmentation.</p>	<p>You conjure bits of technology infused with magic to create one functional, temporary cybernetic augmentation with a level equal to or lower than your caster level. You decide which cybernetic augmentation to create when you cast this spell. The target must have the chosen system available for augmentation. If the target&rsquo;s chosen system already has its maximum number of augmentations, this spell has no effect. The augmentation appears without harm and functions for the spell&rsquo;s duration, dissipating harmlessly into nothing when the spell ends.</p>	null	2	null	conjuration (creation)	1 standard action	null	null	2	one willing creature	10 minutes/level (D)	none (harmless)	no (harmless)	COM	137
182	Instant Virus	<p>Inflict technological construct with disease.</p>	<p>You overwhelm your target&rsquo;s programming, installing a dangerous self-replicating programming virus. This works like a physical or mental disease (your choice), except it ignores the target&rsquo;s immunity to diseases. The programming virus has a frequency of 1 hour and requires two consecutive saving throws to cure.&nbsp;<em>Detect affliction</em>&nbsp;can reveal the existence of this virus in a construct (the virus is considered a disease for purposes of that spell). Additionally,&nbsp;<em>remove affliction</em>&nbsp;can remove this virus.</p>	null	3	null	necromancy	1 standard action	null	null	2	one construct with the technological subtype	instantaneous; see text	Fortitude negates, see text	yes	CRB	361
183	Intellect Fortress	<p>When you or a creature within range is subjected to a mind‑affecting effect while this spell is active, you disrupt it with the power of pure logic.</p>	<p>When you or a creature within range is subjected to a mind‑affecting effect while this spell is active, you disrupt it with the power of pure logic. Mind-affecting effects deal only half damage&mdash;including ability score damage&mdash;to creatures in the area, before any reduction due to successful saves or other effects. When a creature within the area succeeds at a saving throw against an emotion or fear effect, they are not affected by that effect, even if that effect would have a partial effect on a successful saving throw. Ongoing emotion and fear effects are also suppressed for creatures within the area.</p>	3	3	null	abjuration	1 reaction	null	20-ft.-radius spherical emanation centered on you	15	null	1 round	none	yes (harmless)	A!05	52
184	Interplanetary Teleport	<p>Teleport between planets.</p>	<p>This spell functions as&nbsp;<em>teleport</em>, except there is no hard range limit and you don&rsquo;t need to have seen your destination. You can teleport to anywhere you are familiar with on the planet you are on while casting the spell, or you can teleport to any other planet in the same solar system. You must have an unambiguous idea of which world you wish to travel to (&ldquo;the third planet from the sun&rdquo; is an acceptable destination, but &ldquo;a habitable world with oceans&rdquo; is not). If you have a specific location on a planet in mind, you arrive there without a chance of failure; otherwise, you arrive at a location that would not immediately be life threatening. If no such safe landing zone exists on the world, such as someone attempting to travel into the sun without the proper precautions in place, the spell simply fails.</p>	null	6	6	conjuration (teleportation)	1 standard action	null	null	10	you and touched objects or touched willing or unconscious creatures	instantaneous	none, Will negates (object)	no, yes (object)	CRB	362
185	Invisibility	<p>Target is invisible for 1 minute per level or until it attacks.</p>	<p>The creature or object touched becomes invisible (see page 264). If the target is a creature, any gear it is carrying vanishes as well. If you cast the spell on someone else, neither you nor your allies can see the target unless you can normally see invisible things or you employ magic to do so.<br /><br />The spell ends if the target attacks any creature. For purposes of this spell, an attack includes any spell or harmful effect targeting a foe or whose area or effect includes a foe. Actions directed at unattended objects don&rsquo;t break the spell. Spells that specifically affect allies but not foes are not attacks for this purpose, even when they include foes in their area. Causing harm indirectly is not an attack. Thus, an invisible being can open doors, talk, eat, climb stairs, summon security forces and have them attack, start a trash compactor with foes inside, remotely trigger traps, and so forth.</p>	null	2	2	illusion	1 standard action	null	null	2	one creature or object no more than 10 bulk/level	1 minute/level (D)	Will negates (harmless, object), see text	yes (harmless, object)	CRB	362
186	Invisibility to Technology	<p>Technological items can&rsquo;t detect target.</p>	<p>The target and its gear cannot be detected by cameras, motion detectors, technological armor upgrades such as infrared sensors, biotech and cybernetic eyes or ears, or other technological devices, and it is invisible to constructs with the technological subtype. The target is missing from technological images captured while the spell lasts, security cameras do not display the target, microphones pick up no sounds the target makes, and the target cannot trigger technological traps. This spell creates disadvantages for the target, as well. Talking on a comm unit is impossible while subjected to this spell, and automatic doors do not open for the target.<br />Items dropped, put down, or thrown by the target become visible to technology. Items picked up disappear if tucked into clothing or a bag carried by the target. Light remains visible to technology, but a source of light might be invisible. If any part of an item the target carries extends more than 10 feet from the target, that part becomes visible to technology. This spell ends under the same circumstances as an invisibility spell.</p>	null	2	null	illusion	1 standard action	null	null	2	one creature or object	1 minute/level (D)	Will negates (harmless, object)	yes (harmless, object)	COM	137
187	Invisibility, Greater	<p>Target is invisible for 1 round per level, even if it attacks.</p>	<p>This spell functions like&nbsp;<em>invisibility</em>, except it doesn&rsquo;t end if the target attacks.</p>	null	4	4	illusion	1 standard action	null	null	2	one creature	1 round/level (D)	Will negates (harmless)	yes (harmless, object)	CRB	362
188	Invisibility, Mass	<p>Multiple targets are invisible for 1 minute per level or until one target attacks or moves away from other targets affected by spell.</p>	<p>This spell functions like&nbsp;<em>invisibility</em>, except the effect moves with the group and is broken when anyone in the group attacks. Individuals in the group can&rsquo;t see one another. Any individual who moves more than 180 feet from the nearest member of the group loses the benefit of this spell. If only two individuals are affected, the one moving away from the other one loses its invisibility. If both are moving away from each other, they both become visible when the distance between them exceeds 180 feet.</p>	null	6	6	illusion	1 standard action	null	null	5	any number of creatures, no two of which can be more than 180 ft. apart	1 round/level (D)	Will negates (harmless)	yes (harmless, object)	CRB	362
189	Irradiate	<p>Flood area with dangerous radiation.</p>	<p>This spell floods the area of effect with dangerous radiation. The strength of the radiation you create depends on your caster level, as detailed below. The central irradiated area is always a 10-foot-radius spread that expands normally per the rules for radiation areas of effect. Creatures within the area are exposed to the radiation only once; the radiation does not linger in the area. The saving throw to resist the radiation effects is set by the spell rather than the standard save DC for radiation.</p><table><tbody><tr><th>Caster Level</th><th>Radiation Level</th></tr><tr><td>6th or lower</td><td>Low</td></tr><tr><td>7th&ndash;9th</td><td>Medium</td></tr><tr><td>10th&ndash;16th</td><td>High</td></tr><tr><td>17th or higher</td><td>Severe</td></tr></tbody></table>	3	3	3	conjuration (creation, disease, poison, radiation)	1 standard action	null	10-ft.-radius spread; see text	4	null	instantaneous	Fortitude partial, see text	no	CRB	362
190	Jolting Surge	<p>Touch deals 4d6 electricity damage.</p>	<p>You touch a target with a device you&rsquo;re holding that uses electricity, requiring a melee attack against the target&rsquo;s EAC. Alternatively, you can instead touch an electrical device a target is wearing (or a target that is an electrical device, such as a robot) with your hand, gaining a +2 bonus to your attack roll. Either way, if your attack hits, the electrical device surges out of control, dealing 4d6 electricity damage to your target.<br /><br />Casting this spell doesn&rsquo;t provoke attacks of opportunity.</p>	null	1	1	evocation (electricity)	1 standard action	null	null	2	one creature or object	instantaneous	none	yes	CRB	363
191	Junk Armor	<p>Turn junk into light armor or upgrade light armor to heavy armor.</p>	<p>You turn a pile of technological junk into a suit of light armor, or use it to upgrade a suit of light armor to heavy armor. You must target inert, nonworking electronic equipment of at least 1 bulk. Valid targets include a large broken computer system, nonworking or unconnected computer or robot parts, a destroyed robot or another such trashed mechanical system, or any related electronic components or combination of the above, as long as the junk is found in sufficient quantity.<br /><br />You can cause the armor to be created on yourself or an adjacent willing or unconscious ally. Light or heavy armor you create requires proficiency to use without penalties as normal. If you use this spell to create light armor, the armor has an EAC bonus equal to your caster level, a KAC bonus equal to your caster level + 2, and a maximum Dex bonus equal to 1 + onequarter your caster level. Using&nbsp;<em>junk armor</em>&nbsp;to temporarily turn light armor into heavy armor increases the armor&rsquo;s EAC bonus by 1 and its KAC bonus by 2, reduces its maximum Dexterity bonus by 3, and worsens its armor check penalty by 2.</p>	null	1	null	conjuration (creation)	1 standard action	null	null	2	null	24 hours (D)	none	no	PWD	205
192	Junk Restraints	<p>4th - Transform junk into shackles or fetters.</p>	<p>You turn a pile of technological junk into fetters and shackles that restrain a creature within range. You must target inert, nonworking electronic equipment of at least 1 bulk. Valid targets include a large broken computer system, nonworking or unconnected computer or robot parts, a destroyed robot or another such trashed mechanical system, or any related electronic components or combination of the above, as long as the junk is found in sufficient quantity.<br />While casting this spell, you use your magic and technological know-how to rearrange the junked parts and infuse them with energy powerful enough to restrain a Large or smaller creature. The junk flies toward the creature and attaches itself to the creature&rsquo;s limbs or otherwise ensnares it, causing it to gain the entangled condition for the duration of the spell or until it ends the condition by succeeding at an Acrobatics check to escape as a move action. The DC of this check is equal to 15 + 1-1/2 &times; your caster level.<br />If the targeted creature succeeds at a Reflex save, the junk lands adjacent to them harmlessly.</p>	null	4	null	transmutation	1 standard action	null	null	3	at least 1 bulk of inert electronic equipment; see text	1 round/2 levels (D)	Reflex negates; see text	no	NSP	156
193	Junk Shard	<p>1st - Summon and fling sharp pieces of junk at a target, dealing 3d6 piercing and slashing damage.</p>	<p>You summon sharp fragments of technological junk that fly toward your target and deal 3d6 piercing and slashing damage. The spell leaves behind 1 bulk of junked electronic equipment in the target creature&rsquo;s space that is suitable for targeting with spells such as battle junkbot, handy junkbot, healing junkbot, junk armor, junk restraints, or junksword. The junked electronics have no resale value and cannot be repaired into any functioning item. A creature trained in Engineering or Physical Science can reveal the useless nature of the junk by directly examining it.</p>	null	1	1	conjuration	1 standard action	instantaneous	null	3	one creature or objectEffect creates 1 bulk of inert electronic equipment	instantaneous	Reflex half	no	NSP	157
194	Junksword	<p>Turn junk into a one-handed melee weapon</p>	<p>You turn a pile of technological junk into a one-handed melee weapon that you can wield against your foes. You must target inert, nonworking electronic equipment of at least 1 bulk. Valid targets include a large broken computer system, nonworking or unconnected computer or robot parts, a destroyed robot or another such trashed mechanical system, or any related electronic components or combination of the above, as long as the junk is found in sufficient quantity.<br />You are automatically proficient with this melee weapon, and you add 1-1/2 times your caster level to damage rolls with it (in place of a Weapon Specialization bonus). A junksword functions only for its creator, and once created it cannot leave your hand. Should you wish to sheathe it, the junksword obliges by collapsing into a wreath of junk that surrounds your hand like a glove.<br />You can grant your junksword additional abilities based on the spell&rsquo;s level. You can change one modification to your junksword as a move action, or you can completely reconfigure all of its modifications as a full action.<br /><strong>1st:</strong>&nbsp;Your junksword deals 1d4 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to two of the following special properties: block, disarm, nonlethal, reach, or trip.<br /><strong>2nd:</strong>&nbsp;Your junksword deals 1d8 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to three of the special properties from the 1st-level list.<br /><strong>3rd:</strong>&nbsp;Your junksword has either the analog or powered (capacity 30, usage 2) weapon special property (your choice). It deals 2d4 bludgeoning and slashing damage if it&rsquo;s an analog weapon, or 2d4 electricity damage if it&rsquo;s a powered weapon. In addition, you can grant your junksword up to three of the special properties from the 1st-level list, plus the staggered critical effect. If you select the powered option, your junksword&rsquo;s battery is integrated and cannot be removed, recharged, replaced, or used to power other devices.<br /><strong>4th:</strong>&nbsp;This functions as the 3rd-level junksword, but it deals 2d8 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d4 damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>5th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 3d10 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d6 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>6th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 6d6 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d8 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered). Additionally, you can grant the junksword one of the following weapon fusions: dispelling, entangling, ghost killer, merciful, or spellthrower.</p>	null	1	null	conjuration (creation)	1 standard action	null	null	2	null	10 minutes/level (D)	none	no	PWD	205
195	Junksword	<p>Turn junk into a one-handed melee weapon</p>	<p>You turn a pile of technological junk into a one-handed melee weapon that you can wield against your foes. You must target inert, nonworking electronic equipment of at least 1 bulk. Valid targets include a large broken computer system, nonworking or unconnected computer or robot parts, a destroyed robot or another such trashed mechanical system, or any related electronic components or combination of the above, as long as the junk is found in sufficient quantity.<br />You are automatically proficient with this melee weapon, and you add 1-1/2 times your caster level to damage rolls with it (in place of a Weapon Specialization bonus). A junksword functions only for its creator, and once created it cannot leave your hand. Should you wish to sheathe it, the junksword obliges by collapsing into a wreath of junk that surrounds your hand like a glove.<br />You can grant your junksword additional abilities based on the spell&rsquo;s level. You can change one modification to your junksword as a move action, or you can completely reconfigure all of its modifications as a full action.<br /><strong>1st:</strong>&nbsp;Your junksword deals 1d4 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to two of the following special properties: block, disarm, nonlethal, reach, or trip.<br /><strong>2nd:</strong>&nbsp;Your junksword deals 1d8 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to three of the special properties from the 1st-level list.<br /><strong>3rd:</strong>&nbsp;Your junksword has either the analog or powered (capacity 30, usage 2) weapon special property (your choice). It deals 2d4 bludgeoning and slashing damage if it&rsquo;s an analog weapon, or 2d4 electricity damage if it&rsquo;s a powered weapon. In addition, you can grant your junksword up to three of the special properties from the 1st-level list, plus the staggered critical effect. If you select the powered option, your junksword&rsquo;s battery is integrated and cannot be removed, recharged, replaced, or used to power other devices.<br /><strong>4th:</strong>&nbsp;This functions as the 3rd-level junksword, but it deals 2d8 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d4 damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>5th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 3d10 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d6 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>6th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 6d6 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d8 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered). Additionally, you can grant the junksword one of the following weapon fusions: dispelling, entangling, ghost killer, merciful, or spellthrower.</p>	null	2	null	conjuration (creation)	1 standard action	null	null	2	null	10 minutes/level (D)	none	no	PWD	205
196	Junksword	<p>Turn junk into a one-handed melee weapon</p>	<p>You turn a pile of technological junk into a one-handed melee weapon that you can wield against your foes. You must target inert, nonworking electronic equipment of at least 1 bulk. Valid targets include a large broken computer system, nonworking or unconnected computer or robot parts, a destroyed robot or another such trashed mechanical system, or any related electronic components or combination of the above, as long as the junk is found in sufficient quantity.<br />You are automatically proficient with this melee weapon, and you add 1-1/2 times your caster level to damage rolls with it (in place of a Weapon Specialization bonus). A junksword functions only for its creator, and once created it cannot leave your hand. Should you wish to sheathe it, the junksword obliges by collapsing into a wreath of junk that surrounds your hand like a glove.<br />You can grant your junksword additional abilities based on the spell&rsquo;s level. You can change one modification to your junksword as a move action, or you can completely reconfigure all of its modifications as a full action.<br /><strong>1st:</strong>&nbsp;Your junksword deals 1d4 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to two of the following special properties: block, disarm, nonlethal, reach, or trip.<br /><strong>2nd:</strong>&nbsp;Your junksword deals 1d8 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to three of the special properties from the 1st-level list.<br /><strong>3rd:</strong>&nbsp;Your junksword has either the analog or powered (capacity 30, usage 2) weapon special property (your choice). It deals 2d4 bludgeoning and slashing damage if it&rsquo;s an analog weapon, or 2d4 electricity damage if it&rsquo;s a powered weapon. In addition, you can grant your junksword up to three of the special properties from the 1st-level list, plus the staggered critical effect. If you select the powered option, your junksword&rsquo;s battery is integrated and cannot be removed, recharged, replaced, or used to power other devices.<br /><strong>4th:</strong>&nbsp;This functions as the 3rd-level junksword, but it deals 2d8 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d4 damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>5th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 3d10 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d6 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>6th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 6d6 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d8 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered). Additionally, you can grant the junksword one of the following weapon fusions: dispelling, entangling, ghost killer, merciful, or spellthrower.</p>	null	3	null	conjuration (creation)	1 standard action	null	null	2	null	10 minutes/level (D)	none	no	PWD	205
197	Junksword	<p>Turn junk into a one-handed melee weapon</p>	<p>You turn a pile of technological junk into a one-handed melee weapon that you can wield against your foes. You must target inert, nonworking electronic equipment of at least 1 bulk. Valid targets include a large broken computer system, nonworking or unconnected computer or robot parts, a destroyed robot or another such trashed mechanical system, or any related electronic components or combination of the above, as long as the junk is found in sufficient quantity.<br />You are automatically proficient with this melee weapon, and you add 1-1/2 times your caster level to damage rolls with it (in place of a Weapon Specialization bonus). A junksword functions only for its creator, and once created it cannot leave your hand. Should you wish to sheathe it, the junksword obliges by collapsing into a wreath of junk that surrounds your hand like a glove.<br />You can grant your junksword additional abilities based on the spell&rsquo;s level. You can change one modification to your junksword as a move action, or you can completely reconfigure all of its modifications as a full action.<br /><strong>1st:</strong>&nbsp;Your junksword deals 1d4 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to two of the following special properties: block, disarm, nonlethal, reach, or trip.<br /><strong>2nd:</strong>&nbsp;Your junksword deals 1d8 bludgeoning and slashing damage and has the analog weapon special property. In addition, you can grant your junksword up to three of the special properties from the 1st-level list.<br /><strong>3rd:</strong>&nbsp;Your junksword has either the analog or powered (capacity 30, usage 2) weapon special property (your choice). It deals 2d4 bludgeoning and slashing damage if it&rsquo;s an analog weapon, or 2d4 electricity damage if it&rsquo;s a powered weapon. In addition, you can grant your junksword up to three of the special properties from the 1st-level list, plus the staggered critical effect. If you select the powered option, your junksword&rsquo;s battery is integrated and cannot be removed, recharged, replaced, or used to power other devices.<br /><strong>4th:</strong>&nbsp;This functions as the 3rd-level junksword, but it deals 2d8 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d4 damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>5th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 3d10 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d6 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered).<br /><strong>6th:</strong>&nbsp;This functions as the 3rd-level casting of junksword, but the junksword deals 6d6 bludgeoning and slashing damage if it&rsquo;s an analog weapon or 3d8 electricity damage if it&rsquo;s a powered weapon, and it gains the stunned critical effect (rather than staggered). Additionally, you can grant the junksword one of the following weapon fusions: dispelling, entangling, ghost killer, merciful, or spellthrower.</p>	null	4	null	conjuration (creation)	1 standard action	null	null	2	null	10 minutes/level (D)	none	no	PWD	205
