id	name	prerequisities	description	long_description	combat	source	source_page
179	Mounted Expert	Combat-Trained Mount, Survival 5 ranks	While mounted, you exhibit exceptional control over not just your creature companion but also yourself.	<p>When you would be knocked prone while mounted, you still gain the prone condition, but you stay mounted. You can take the stand up action to lose the prone condition as normal. Also, while you are mounted and able to take actions, your mount gains a +2 insight bonus to KAC against combat maneuvers.</p>|		AA3	140
180	Multifaceted Nature	Dimorphic or driftborn racial trait, character level 9th	Through a twist of genetics, magic, or strange fate, you developed another of your race’s traits.	<p>When you gain this feat, choose a racial trait you lack that is available to your race. You gain that trait. If you select an alternate racial trait, it doesn’t replace a racial trait you already have.</p>|		COM	32
181	Nanite Integration	Character level 3rd, constructed racial trait or construct type.	Nanites responsible for maintaining your constructed body have been upgraded, and a subset of them has been reprogrammed to perform incredible feats.	<p>Your body has integrated technology that provides you with one of the following benefits, chosen when you gain the feat. Once chosen, the benefit cannot be changed.<br/> <em>Rebooting Nanites:</em> Whenever you fail a saving throw against an effect that causes you to gain the asleep, blinded, confused, cowering, dazed, dazzled, deafened, exhausted, fatigued, frightened, nauseated, panicked, shaken, sickened, staggered, stunned, or unconscious condition, you can spend 1 Resolve Point as a reaction to attempt a new saving throw against the effect at the same DC. If you succeed, the condition ends, though you still suffer any other effects of the original failed saving throw.<br/> <em>Repairing Nanites:</em> Whenever you take Hit Point damage, you can spend 1 Resolve Point as a reaction to gain fast healing equal to one-quarter your character level (minimum fast healing 1) for 1 minute.<br/> <em>Surging Nanites:</em> Before you attempt a skill or ability check, you can spend 1 Resolve Point as a reaction to gain a +2 racial bonus to that check.</p>|		COM	17
182	Oracular Gift	Ability to cast augury	Gain +1 to initiative checks, and you can cast an enhanced augury once per day without spending RP	<p>You gain a +1 bonus to Perception checks to act in the surprise round, as well as to initiative checks. Additionally, you can cast augury once per day without spending a Resolve Point to do so, and add your caster level to the percentage chance of the spell giving you a meaningful reply.</p>|		COM	117
183	Penetrating Spell	Ability to cast 4th-level spells	Reduce enemy's DR and energy resistance against your spells by 5	<p>Reduce your target's energy resistances and damage reduction by 5 against your spell damage.</p>|		CRB	160
184	Percussive Maintenance	Str 11	Reroll checks for engineer crew actions in starship combat and engineering checks to repair items	<p>Once per day, you can reroll an Engineering check to repair an item. In addition, you can reroll one engineer crew action per starship combat.</p>|		COM	117
185	Periastra Training	Cha 13, Mysticism 5 ranks, stellar mode class feature	Through sheer force of will, you can gain the effects of being fully attuned to your current stellar mode.	<p><del>When you have 1 or 2 attunement points and use a stellar revelation, you can spend 1 Resolve Point to use that revelation as if you were fully attuned to your current mode.</del> <ins>When you have 1 or 2 attunement points, you can spend 1 Resolve Point to use a stellar revelation as if you were fully attuned to your current mode.</ins> You cannot benefit from this feat if you have disproportionate revelations.<br/><br/><a href="https://paizo.com/threads/rzs42qu0?Is-Periastra-Training-Useless#8">Edited Sep 6th, 2019 here</a></p>|		AA3	31
186	Poison Adaptation	Con 11	Gain a +2 enhancement bonus to saves against poison and take half damage from initial exposure	<p>You gain a +2 enhancement bonus to saving throws against poison, and you take half damage from initial exposure to poisons.</p>|		COM	117
187	Poison Rejection	Con 17, Poison Adaptation	Recover from poisons more swiftly	<p>When you are affected by a poison or venom, if you succeed at your first saving throw against the poison, you are immediately allowed a second at the same DC. If you succeed at both saves, you end the poison with no further effects.</p>|		COM	117
188	Poison Rejection	Racial trait with “poison” or “slime” in the name	You’ve mastered a method of using your bodily fluids to negate poison and venom.	<p>When you are affected by a poison or venom, if you succeed at your first saving throw against the poison, you are immediately allowed a second at the same DC. If you succeed at both saves, you end the poison with no further effects.</p>|		NSP	132
189	Polymorph Adept	You know the polymorph spell as a 3rd-level spell or higher.	Allows you to change polymorph form as standard action without penalty	<p>While your polymorph spell targeting yourself lasts, as a standard action, you can change into another form you know from that level of the spell or any lower-level version. This does not affect the duration of the spell.</p>|		AA2	145
190	Positive Conduit	Con 13	Gain extra Hit Points from magical healing	<p>When you regain Hit Points from a magical effect or serum, you regain an additional amount of Hit Points equal to your Constitution modifier. Once you use this ability, you can’t use it again until you take a 10-minute rest to regain Stamina Points.</p>|		COM	117
191	Profession Mastery	Cha 13, Int 13, or Wis 13 (see text); Profession (any) 1 rank, cultural fascination racial trait	Your deep exploration of the multiple cultures has taught you to use your professional know-how to great effect.	<p>Choose one Profession skill that you have at least 1 rank in. You must also have a minimum ability score of 13 in the ability score associated with the chosen Profession skill. You can use the chosen Profession skill to attempt skill tasks associated with one of the two skills associated with your chosen Profession. Each common profession skill appears below after its associated ability score, and each skill lists two skills you can select between when you take this feat. Once made, this decision cannot be changed.<br/> <em>Charisma-Based Profession Skills:</em> Actor (Bluff, Disguise), artist (Culture, Disguise), comedian (Bluff, Intimidate), courtesan (Acrobatics, Bluff), dancer (Acrobatics, Athletics), musician (Bluff, Sense Motive), orator (Diplomacy, Sense Motive), poet (Bluff, Culture), politician (Diplomacy, Intimidate), video personality (Computers, Diplomacy), writer (Culture, Diplomacy)<br/> <em>Intelligence-Based Profession Skills:</em> Accountant (Computers, Perception), archaeologist (Culture, Life Science), architect (Engineering, Physical Science), corporate professional (Diplomacy, Intimidate), electrician (Disable Device, Engineering), lab technician (Life Science, Physical Science), lawyer (Culture, Intimidate), mathematician (Computers, Physical Science), philosopher (Bluff, Culture), professor (Intimidate, Sense Motive), psychologist (Diplomacy, Sense Motive), vidgamer (Computers, Culture).<br/> <em>Wisdom-Based Profession Skills:</em> Bounty hunter (Intimidate, Survival), cook (Life Science, Physical Science), counselor (Diplomacy, Sense Motive), dockworker (Athletics, Engineering), farmer (Life Science, Survival), gambler (Bluff, Sense Motive), general contractor (Diplomacy, Engineering), herbalist (Life Science, Medicine), maintenance worker (Athletics, Engineering), manager (Diplomacy, Intimidate), mercenary (Culture, Survival), merchant (Culture, Diplomacy), miner (Athletics, Physical Science), smuggler (Sleight of Hand, Stealth).</p>|		COM	25
192	Protective Fur	Skittermander or ysoki	Gain +2 circumstance bonus to saves against heat and cold dangers and +4 circumstance bonus to avoid contracting contact afflictions	<p>You gain a +2 circumstance bonus to Fortitude saves against cold and heat dangers. In addition, you gain a +4 circumstance bonus to Fortitude saves made to avoid contracting contact diseases and poisons.</p>|		COM	117
193	Protector of Kahlannal	Anassanoi, any non-chaotic and non-evil alignment	You are one of the eight ordained Protectors of the anassanoi people of Kahlannal.	<p>You form a psychic bond with a Protector chariot, which allows you to pilot the vehicle. As a standard action, you can summon your chariot from a distance of up to 1 mile. If you do so, the vehicle moves toward you on autopilot as quickly as it can, unless an insurmountable obstacle stands between you. If you become chaotic or evil, you lose access to this feat while you have such an alignment.</p>|		DF05	45
194	Psychic Insight	Limited telepathy or telepathy	Gain bonuses against creatures you communicate with telepathically	<p>You gain a +2 insight bonus to Bluff, Diplomacy, Intimidation, and Sense Motive checks against creatures you are successfully communicating with using your limited telepathy or telepathy.</p>|		DF01	44
195	Psychic Power	Cha 13, Minor Psychic Power, character level 4th	Cast a 1st-level spell as a spell-like ability 1/day	<p>Select one of the following 1st-level spells: comprehend languages, detect thoughts, or mind link. You can cast this spell once per day as a spell-like ability, using your character level as your caster level.</p>|		CRB	160
196	Psychic Sense	Limited telepathy or telepathy	Gain blinsense using telepathy	<p>You have blindsense (thought) with a range equal to the range of your limited telepathy or telepathy.</p>|		DF01	44
197	Quicker Trickler	Medicine 3 ranks	Administer serums as a standard action instead of a full action	<p>You can trickle serums down the throats of other creatures as a standard action instead of as a full action.</p>|		COM	117
198	Reality Glimmer	Cha 15, character level 5th, no levels in witchwarper	Gain the ability to cast minor witchwarper spells	<p>Choose two 0-level witchwarper spells and one 1st-level witchwarper spell. You can cast the 0-level spells at will and the 1st-level spell once per day for every 3 character levels you have. For these spells, your caster level is equal to your character level and the key ability score is Charisma. If you later gain levels in witchwarper, you lose the benefits of this feat and can replace it with either Spell Focus or Spell Penetration.</p>|		COM	117
199	Reject Chains	Shirren	#ERROR!	<p>You gain a +2 insight bonus to saving throws against charm and compulsion effects, and once per day you can reroll a save against such an effect.</p>|		COM	117
200	Scurry	Racial bonus to Dexterity, size Small	Your small size affords you superior tactical positioning.	<p>You gain the compression universal creature rule (Starfinder Alien Archive 153). In addition, you can occupy the same space as an ally of your size or larger without you or your ally taking any penalties for your doing so.</p>|		COM	29
201	Sense Assumptions	Sense Motive 1 rank	You can easily intuit a person’s preconceptions.	<p>You gain a +1 insight bonus to Sense Motive checks. In addition, you can attempt a Sense Motive check to discern some of another person’s assumptions after 1 minute of conversation, allowing you to assess the difficulty of lying to them. The DC of this check is equal to 10 + the target’s Bluff skill bonus or 15 + 1-1/2 × the target’s CR, whichever is higher. If you succeed, you learn whether you would take a penalty to Bluff checks when attempting to convince that target of one falsehood of your choice related to the topic of conversation. If you fail by 4 or less, you learn nothing. If you fail by 5 or more, the target realizes you are trying to glean information from them. You can retry this check, but the DC increases by 5 for each previous failure on this check against that target.</p>|		3C01	45
202	Shadow Infusion	You must spend a significant time on the Shadow Plane or otherwise become infused with its energies, such as by dying there or gaining shadow corruption. The GM determines whether you qualify for this feat.	Gain low-light vision and darkvision, or see in darkness	<p>You gain low-light vision and darkvision to a range of 60 feet. If you already have darkvision, you gain the see in darkness ability (Alien Archive 156).</p>|		SS3	53
203	Skill Focus	null	#ERROR!	<p>You can take this feat multiple times. Its effects don’t stack. Each time you take this feat, it applies to a new skill.</p>|		CRB	161
204	Skill Synergy	null	Gain two new class skills or a +2 insight bonus to those skills	<p>You can take this feat multiple times. Its effects don’t stack. Each time you take it, it applies to two different skills.</p>|		CRB	161
205	Sky Jockey	Piloting 5 ranks	Make jetpacks, vehicles, and starships go faster	<p>When you’re using a device to fly (including magic items, but not spells or natural flight), your fly speed increases by 10 feet. If you are operating a flying vehicle, its fly speed increases by 10 (though this has no impact on its full speed or overland movement speed). When you are in the pilot role of starship combat, your starship’s speed increases by 1.</p>|		CRB	161
206	Soothing Telepathy	Limited telepathy or telepathy	#ERROR!	<p>You gain a +2 insight bonus to saving throws against mind-affecting effects. Once per day as a reaction, you can grant allies within range of your telepathic communication a +2 insight bonus to saving throws against mind-affecting effects until the end of your next turn.</p>|		COM	118
207	Spell Feint	null	When you successfully feint, your foe takes a –1 penalty to saves against your next spell	<p>When you succeed at a feint combat maneuver, instead of the normal effects, your opponent takes a –1 penalty to saving throws against the next spell you cast before the end of your next turn.</p>|		COM	118
208	Spell Focus	Ability to cast spells, character level 3rd	DCs of spells you cast increase	<p>The DC of spells you cast increases by 1. At 11th level, the DC of your spells instead increases by 2, and at 17th level, the DC of spells you cast instead increases by 3. This bonus does not apply to spell-like abilities.</p>|		CRB	162
209	Spell Penetration	null	#ERROR!	<p>You gain a +2 bonus to caster level checks to overcome a creature’s spell resistance.</p>|		CRB	162
210	Spellbane	Unable to cast spells or use spell-like abilities	#ERROR!	<p>You gain a +2 insight bonus to saving throws against spells and spell-like abilities. If you ever gain the ability to cast spells or use spell-like abilities, you lose the benefits of this feat and can replace it with Great Fortitude, Lightning Reflexes, or Iron Will, or the improved version of one of those feats if you meet its prerequisites.</p>|		CRB	162
211	Spellguard	Mysticism 3 ranks	Grant an ally a +2 insight bonus against a spell as a reaction	<p>As a reaction when an adjacent ally is targeted by a spell or spell-like ability, you can create a minor protective ward, granting that ally a +2 insight bonus to their saving throw against that effect. This effect distracts you from your own defenses, and you take a –2 penalty to saving throws against spells and spell-like abilities until the beginning of your next turn. Once you use this ability, you can’t use it again until you regain Stamina Points with a 10-minute rest.</p>|		COM	118
212	Spot of Luck	Any racial trait or feat that grants a d20 reroll, character level 5th	When escaping tight spots, you defy the odds.	<p>When you use an ability to reroll one d20 roll, you can spend 1 Resolve Point to reroll twice and use the highest of all three results. Once you use this ability, you can do so again only after a 10-minute rest to regain Stamina Points.</p>|		COM	32
213	Squox Companion	You own a trained squox that has an attitude of friendly or helpful toward you.	Gain bonuses for having a pet sqoux	<p>You can designate your trained squox as your companion, which obeys your instructions, orders, and suggestions to the best of its ability. It won't follow a command that would bring significant harm to itself, but it has your interests at heart and does what it can to aid you. While your squox companion is within 30 feet of you, you gain a +1 insight bonus to Perception checks to notice and search when the GM determines your squox could help you accomplish these tasks.<br/> Your Tiny squox companion can share your space and end its movement there. Outside your space, your squox has evasion, as the operative class feature. While in your space, your squox has evasion, improved evasion (as the operative exploit), and cover. In addition, when your squox is adjacent to you or in your space and would take damage, you can use your reaction to intercede and take the damage instead.<br/> In addition, your adorable companion is distracting. While it is in your space, you gain a +1 insight bonus to Bluff checks to feint. If your squox is in your space or within 10 feet of you, you can instead gain this insight bonus to Bluff checks to create a diversion, which can allow you or your squox to attempt to hide (your choice of which when you attempt the Bluff check).</p>|		AA2	119
214	Stage Magic	Cha 13, Minor Stage Magic, character level 4th	Gain a 1st level spell to help distract foes or entertain crowds	<p>Select one of the following 1st-level spells: disguise self, holographic image, or unseen servant. You can cast this spell once per day as a spell-like ability, using your character level as your caster level. The key ability score for this spell is Charisma.</p>|		PWD	191
215	Startled Scream	null	Stops surprised allies from being flatfooted in surprise round	<p>Before initiative is rolled during an encounter, you can scream as part of combat banter (Core Rulebook 249) even if you're surprised. If you do, allies who are surprised but can hear you don't gain the flat-footed condition, while allies who aren't surprised gain a +1 insight bonus to initiative checks. You gain the appropriate benefit depending on whether you are surprised or not. However, your scream is loud, possibly drawing the attention of foes that can hear you and alerting others within earshot. You're also shaken until the end of your next turn.</p>|		SS1	52
216	Steady Footing	More than two legs or similar limbs	You use your multiple legs to your advantage.	<p>You gain a +2 bonus to KAC against the bull rush, reposition, and trip combat maneuvers. In addition, you gain a +2 bonus to saving throws against effects that would knock you prone.</p>|		NSP	131
217	Steel Nerves	Wis 13, character level 3rd	#ERROR!	<p>You gain a +2 bonus to saving throws against fear effects. In addition, when you have the frightened condition, you can choose to fight rather than flee. When you have the panicked condition, you don't drop what you're holding.</p>|		SS1	52
218	Survivalist	Self-sufficient racial trait	You know how to live off the land.	<p>When you attempt a Survival check to live off the land, you are not limited to moving only half your overland speed. If you succeed at the check, you can provide food and water for five more creatures than normal.</p>|		COM	34
219	Swimming Master	Athletics 5 ranks	Gain a swim speed equal to your base speed	<p>You gain a swim speed equal to your land speed.</p>|		CRB	163
220	Tactful Advisor	Cha 11	Provide an additional +1 enhancement bonus when your aid another check result is 20 or higher	<p>When you aid another, if the result of your check is 20 or higher, you provide an additional +1 enhancement bonus to your ally’s skill check.</p>|		COM	118
221	Tailored Serum	Life Science 5 ranks	Grant additional Hit Points to a particular creature with a customized serum of healing	<p>With 1 minute of work, you can modify a serum of healing so that when it’s consumed by or administered to a specific creature, it restores a number of additional Hit Points equal to the serum’s item level. You can modify a number of serums this way each day equal to your Intelligence modifier. These modifications expire after 24 hours, returning the serum to its normal function.</p>|		COM	118
222	Technomantic Dabbler	Intelligence 15, character level 5th, no levels in technomancer	Gain the ability to cast minor technomancer spells	<p>Choose two 0-level technomancer spells and one 1st-level technomancer spell. You can cast the 0-level spells at will and the 1st-level spell once per day for every 3 character levels you have. Your caster level is equal to your character level, and the key ability score for these spells is Intelligence. If you later gain levels in technomancer, you lose the benefits of this feat and can replace it with either Spell Focus or Spell Penetration.</p>|		CRB	163
223	Telepathic Scream	Intimidate 3 ranks; limited telepathy or telepathy	Create a distressing telepathic scream that causes foes to become shaken	<p>As a standard action, you can broadcast a jarring telepathic screech into the minds of nearby enemies. You can use this ability on one target creature per character level, all of which must be within range of your telepathy. If you succeed at an Intimidate check (DC = 15 + 1 per target + 1-1/2 × the CR of the highest CR target), all targets are shaken for 1 round, plus 1 additional round for every 5 by which your result exceeds the DC. This is a mind-affecting effect. Once you have targeted a creature with this feat, that foe is immune to this ability for 24 hours.</p>|		COM	118
224	Telepathic Spy	Limited telepathy or telepathy	Intercept psychic communications with a sense motive check	<p>When a creature within range of your telepathy uses telepathy, receives telepathic communication (such as telepathic message), or employs a mind-reading effect (such as the detect thoughts spell), you notice the attempt with a successful DC 20 Sense Motive check. If you succeed by 5 or more, you glean three pieces of information about the communication, such as the identity of its source, its general nature, the emotional state of the sender or the recipient, and so on. If you succeed by 10 or more, you can listen in on the communication by concentrating each round (a standard action) to maintain your eavesdropping. However, although unaware of your spying, the subject can attempt a saving throw (DC = 10 + half your level + your Charisma modifier) to prevent it. Succeeding by 5 or more at this save also alerts the subject to your snooping.</p>|		DF01	44
225	Three-Point Stance	null	If you have a free hand, you take 1d6 less damage from falling, don’t fall prone from falling, and gain benefits in zero-g maneuvering	<p>As long as you have one free hand (not being used to wield a weapon or hold anything), you take 1d6 less damage from falls and do not fall prone when you take damage from a fall unless you are unconscious. You also gain a +2 bonus to your KAC against grapple and trip attempts when you have a free hand, as well as to Acrobatics and Athletics checks to move in zero-g.</p>|		COM	119
226	Tight Fit	Large size or larger	You are not entangled when squeezing	<p>While you’re squeezing (Core Rulebook 257), you don’t gain the entangled condition and your speed is reduced by 5 feet instead of halved. You still can’t run or charge while squeezing.</p>|		COM	119
227	Toughness	null	#ERROR!	<p>For every character level you have (and whenever you gain a new level), you gain 1 Stamina Point. In addition, you gain a +4 bonus to Constitution checks to continue running, to avoid damage from a forced march, to hold your breath, and to avoid damage from starvation or thirst. You also gain a +4 bonus to Fortitude saving throws to avoid taking damage from hot or cold environments, to withstand the harmful effects of thick and thin atmospheres, to avoid choking when breathing in heavy smoke, and to avoid fatigue caused by sleep deprivation.</p>|		CRB	163
228	Underfoot	Scurry, Acrobatics 10 ranks, racial bonus to Dexterity, size Small	You use your small size against larger foes.	<p>As a move action, you can try to slip into the space of an adjacent foe larger than you are. To do so, attempt an Acrobatics check (DC = 15 + 1-1/2 × opponent’s CR). If you succeed, you enter your opponent’s space. If you fail, you remain in your starting position, and you are flat-footed and off-target until the end of your next turn.<br/> While you occupy a foe’s space, that foe is flat-footed and off-target, and it treats its space as difficult terrain. If your opponent tries to move out of your space, it provokes an attack of opportunity from you.</p>|		COM	29
229	Unionist	Base attack bonus +1	#ERROR!	<p>You gain a +2 insight bonus to attack rolls made as part of the covering fire and harrying fire actions. When you have two or more allies within 60 feet, this attack bonus increases to +5.</p>|		NSP	134
230	Veiled Threat	Cha 15, Intimidate 1 rank	Intimidated foe doesn’t become hostile	<p>When you successfully use the Intimidate skill to bully a creature, after the duration of its helpful attitude ends, its attitude toward you becomes indifferent rather than hostile.</p>|		CRB	163
